class_name,class_description,method,method_description
com.dropbox.core.v2.sharing.AccessLevel,Defines the access levels for collaborators.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.sharing.AccessLevel,Defines the access levels for collaborators.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",equals(Object obj),N/A
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getAccountId(),The user's unique Dropbox ID.
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getDisabled(),Whether the user has been disabled.
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getEmail(),The user's e-mail address.
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getEmailVerified(),Whether the user has verified their e-mail address.
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getName(),Details of a user's name.
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getProfilePhotoUrl(),"URL for the photo representing the user, if one is set."
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",hashCode(),N/A
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",toString(),N/A
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.users.AccountType,What type of account this user has.,valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.users.AccountType,What type of account this user has.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.sharing.AclUpdatePolicy,"Policy governing who can change a shared folder's access control list (ACL).
 In other words, who can add, remove, or change the privileges of members.",valueOf(String name),Returns the enum constant of this type with the specified name.
com.dropbox.core.v2.sharing.AclUpdatePolicy,"Policy governing who can change a shared folder's access control list (ACL).
 In other words, who can add, remove, or change the privileges of members.",values(),"Returns an array containing the constants of this enum type, in
the order they are declared."
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,equals(Object obj),N/A
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getBrowser(),Information on the browser used for this web session
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getCountry(),The country from which the last activity from this session was made
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getCreated(),The time this session was created
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getIpAddress(),The IP address of the last activity from this session
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getOs(),Information on the hosting operating system
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getSessionId(),The session id
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getUpdated(),The time of the last activity from this session
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getUserAgent(),Information on the hosting device
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,hashCode(),N/A
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,"newBuilder(String sessionId,
          String userAgent,
          String os,
          String browser)",Returns a new builder for creating an instance of this class.
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,toString(),N/A
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability."
com.dropbox.core.v2.team.ActiveWebSession.Builder,Builder for ActiveWebSession.,build(),"Builds an instance of ActiveWebSession configured with this
 builder's values"
com.dropbox.core.v2.team.ActiveWebSession.Builder,Builder for ActiveWebSession.,withCountry(String country),Set value for optional field.
com.dropbox.core.v2.team.ActiveWebSession.Builder,Builder for ActiveWebSession.,withCreated(Date created),Set value for optional field.
com.dropbox.core.v2.team.ActiveWebSession.Builder,Builder for ActiveWebSession.,withIpAddress(String ipAddress),Set value for optional field.
com.dropbox.core.v2.team.ActiveWebSession.Builder,Builder for ActiveWebSession.,withUpdated(Date updated),Set value for optional field.
com.dropbox.core.v2.sharing.AddFileMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFileMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.MemberSelector>).

  Use this class to set optional request parameters and complete the
 request. ",start(),Issues the request.
