class_name,class_description,method,method_description,data_type
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.","createFromNativeLinkingIntent(Intent intent, java.lang.String applicationId, AccessToken.AccessTokenCreationCallback accessTokenCallback)",Creates a new AccessToken using the information contained in an Intent populated by the Facebook application in order to launch a native link.,static void
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",describeContents(),N/A,int
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",equals(java.lang.Object other),N/A,boolean
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getApplicationId(),Gets the ID of the Facebook Application associated with this access token.,java.lang.String
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getCurrentAccessToken(),Getter for the access token that is current for the application.,static AccessToken
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getDataAccessExpirationTime(),Gets the date at which user data access expires.,java.util.Date
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getDeclinedPermissions(),Gets the list of permissions declined by the user with this access token.,java.util.Set<java.lang.String>
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getExpiredPermissions(),Gets the list of permissions that were expired with this access token.,java.util.Set<java.lang.String>
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getExpires(),Gets the date at which the access token expires.,java.util.Date
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getGraphDomain(),Returns the graph domain for this access token.,java.lang.String
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getLastRefresh(),Gets the date at which the token was last refreshed.,java.util.Date
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getPermissions(),Gets the list of permissions associated with this access token.,java.util.Set<java.lang.String>
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getSource(),Gets the AccessTokenSource indicating how this access token was obtained.,AccessTokenSource
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getToken(),Gets the string representing the access token.,java.lang.String
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",getUserId(),Returns the user id for this access token.,java.lang.String
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",hashCode(),N/A,int
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",isCurrentAccessTokenActive(),Returns whether the current AccessToken is active or not.,static boolean
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",isDataAccessActive(),N/A,static boolean
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",isDataAccessExpired(),Shows if the user data access is expired.,boolean
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",isExpired(),Shows if the token is expired.,boolean
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",refreshCurrentAccessTokenAsync(),"Updates the current access token with up to date permissions, and extends the expiration date, if extension is possible.",static void
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",refreshCurrentAccessTokenAsync(AccessToken.AccessTokenRefreshCallback callback),"Updates the current access token with up to date permissions, and extends the expiration date, if extension is possible.",static void
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",setCurrentAccessToken(AccessToken accessToken),Setter for the access token that is current for the application.,static void
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.",toString(),N/A,java.lang.String
com.facebook.AccessToken,"This class represents an immutable access token for using Facebook APIs. It also includes associated metadata such as expiration date and permissions.  For more information on access tokens, see Access Tokens.","writeToParcel(Parcel dest, int flags)",N/A,void
AccessToken.AccessTokenCreationCallback,A callback for creating an access token from a NativeLinkingIntent,onError(FacebookException error),N/A,void
AccessToken.AccessTokenCreationCallback,A callback for creating an access token from a NativeLinkingIntent,onSuccess(AccessToken token),The method called on a successful creation of an AccessToken.,void
AccessToken.AccessTokenRefreshCallback,N/A,OnTokenRefreshed(AccessToken accessToken),N/A,void
AccessToken.AccessTokenRefreshCallback,N/A,OnTokenRefreshFailed(FacebookException exception),N/A,void
