class_name,class_description,method,method_description,data_type
com.here.android.mpa.urbanmobility.AbstractListRequest,Deprecated.  As of SDK 3.8. ,setMaximumResults(int maxResults),Deprecated. ,AbstractRequest<T>
com.here.android.mpa.urbanmobility.AbstractRequest,Deprecated.  As of SDK 3.8. ,equals(java.lang.Object o),Deprecated. ,boolean
com.here.android.mpa.urbanmobility.AbstractRequest,Deprecated.  As of SDK 3.8. ,execute(),Deprecated. ,void
com.here.android.mpa.urbanmobility.AbstractRequest,Deprecated.  As of SDK 3.8. ,hashCode(),Deprecated. ,int
com.here.android.mpa.urbanmobility.AbstractRequest,Deprecated.  As of SDK 3.8. ,setClient(java.lang.String client),Deprecated. ,AbstractRequest<T>
com.here.android.mpa.urbanmobility.AccessPoint,Deprecated.  As of SDK 3.8. ,equals(java.lang.Object o),Deprecated. ,boolean
com.here.android.mpa.urbanmobility.AccessPoint,Deprecated.  As of SDK 3.8. ,getCoordinate(),Deprecated. ,GeoCoordinate
com.here.android.mpa.urbanmobility.AccessPoint,Deprecated.  As of SDK 3.8. ,getId(),Deprecated. ,java.lang.String
com.here.android.mpa.urbanmobility.AccessPoint,Deprecated.  As of SDK 3.8. ,getName(),Deprecated. ,java.lang.String
com.here.android.mpa.urbanmobility.AccessPoint,Deprecated.  As of SDK 3.8. ,hashCode(),Deprecated. ,int
com.here.android.mpa.electronic_horizon.AdasisV2Engine,AdasisV2Engine uses electronic horizon to forecast a variety of ADAS compliant road geometry and relevant map data to generate ADASIS v2 messages.,setListener(AdasisV2Engine.Listener listener),Sets the Listener that listens to the messages generated by the AdasisV2Engine.,void
com.here.android.mpa.electronic_horizon.AdasisV2Engine,AdasisV2Engine uses electronic horizon to forecast a variety of ADAS compliant road geometry and relevant map data to generate ADASIS v2 messages.,update(),Updates ADASIS engine with a new position.,void
com.here.android.mpa.electronic_horizon.AdasisV2Engine.Listener,Represents an interface for responding to ADASIS v2 messages sent by the AdasisV2Engine.,onAdasisMessageReceived(byte[] bytes),Called every time when a new message is generated by the ADASIS engine.,void
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,createAllEnabled(),Creates AdasisV2MessageConfiguration with all possible ADASIS messages enabled.,static AdasisV2MessageConfiguration
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,createDefaultsEnabled(),Creates AdasisV2MessageConfiguration with default ADASIS messages enabled.,static AdasisV2MessageConfiguration
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,isLatitudeLongitudeEnabled(),Checks whether long profile LATITUDE and LONGITUDE messages are enabled.,boolean
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,isMetaDataEnabled(),Checks whether META-DATA message is enabled.,boolean
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,isPositionEnabled(),Checks whether POSITION message is enabled.,boolean
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,isPVIDEnabled(),Checks whether long profile PVID message is enabled.,boolean
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,isRoadAccessibilityEnabled(),Checks whether short profile ROAD_ACCESSIBILITY message is enabled.,boolean
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,isSegmentEnabled(),Checks whether SEGMENT message is enabled.,boolean
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,isSlopeEnabled(),Checks whether short profile SLOPE message is enabled.,boolean
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,isStubEnabled(),Checks whether STUB message is enabled.,boolean
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,setLatitudeLongitudeEnabled(boolean enabled),Set whether long profile LATITUDE and LONGITUDE messages are enabled.,void
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,setMetaDataEnabled(boolean enabled),Set whether META-DATA message is enabled.,void
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,setPositionEnabled(boolean enabled),Set whether POSITION message is enabled.,void
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,setPVIDEnabled(boolean enabled),Set whether long profile PVID message is enabled.,void
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,setRoadAccessibilityEnabled(boolean enabled),Set whether short profile ROAD_ACCESSIBILITY message is enabled.,void
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,setSegmentEnabled(boolean enabled),Set whether SEGMENT message is enabled.,void
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,setSlopeEnabled(boolean enabled),Set whether short profile SLOPE message is enabled.,void
com.here.android.mpa.electronic_horizon.AdasisV2MessageConfiguration,AdasisV2MessageConfiguration enables or disables generation of specific ADASIS v2 messages.,setStubEnabled(boolean enabled),Set whether STUB message is enabled.,void
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ","addAdditionalData(java.lang.String key, java.lang.String value)","Adds additional address data, one key-value pair per call.",void
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",equals(java.lang.Object obj),N/A,boolean
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getAdditionalData(),Gets additional address data.,"java.util.Map<java.lang.String,java.lang.String>"
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getCity(),Gets the current city name for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getCountryCode(),Gets the current ISO 3166-1 (3-letter) country code for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getCountryName(),Gets the current country name for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getCounty(),Gets the current county name for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getDistrict(),Gets the current district name for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getFloorNumber(),Gets the current floor number (in a multi-story building) for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getHouseNumber(),Gets the current house number for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getPostalCode(),Gets the current postal code for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getState(),Gets the current state name for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getStateCode(),Gets the current state code (state abbreviation) for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getStreet(),Gets the current street name for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getSuiteNumberOrName(),Gets the current suite number or suite name for the Address.,java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",getText(),"Gets a displayable, formatted rich text for the entire Address.",java.lang.String
com.here.android.mpa.search.Address,"Provides textual address information for a Location. The information is divided among fields such as country, street, postal code, and so on.  To retrieve a combined, formatted string of this address, use the getText() method. ",hashCode(),N/A,int
