class_name,class_description,method,method_description,data_type
com.dropbox.core.http.OkHttp3Requestor,"HttpRequestor implementation that uses OkHttp
 v3.  You can only use this if your project includes the OkHttp v3 library.

 
 To use this, pass INSTANCE to the DbxRequestConfig constructor.
 ",interceptResponse(okhttp3.Response response),Called before returning Response from a request.,protected okhttp3.Response
com.amazon.device.iap.model.PurchaseResponse,Represents the result of a call to PurchasingService.purchase(String).,toJSON(),"Utility method to return a JSON object containing the information for a
 PurchaseResponse instance.",org.json.JSONObject
com.dropbox.core.v2.sharing.RemoveFileMemberError.Tag,Discriminating tag type for RemoveFileMemberError.,valueOf(String name),Returns the enum constant of this type with the specified name.,static RemoveFileMemberError.Tag
com.here.android.mpa.routing.Route,Represents a distinct path connecting two or more waypoints GeoCoordinate. A Route consists of a list of maneuvers and route links.,getLength(int subleg),"Gets the length of the route subleg, in meters.",int
groups,N/A - VK has no Class Descriptions,join,"With this method you can join the group or public page, and also confirm your participation in an event.",Returns 1 if succeeded.
com.dropbox.core.v2.team.GroupsMembersListContinueError,The cursor is invalid.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared.",static GroupsMembersListContinueError[]
com.here.android.mpa.mapping.MapCircle,Represents a MapObject in the shape of a circle.,getRadius(),"Returns the current radius of the MapCircle, in meters.",double
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,getMediaInfo(),Additional information if the file is a photo or video.,MediaInfo
com.here.android.mpa.odml.MapPackage,"Represents a model for obtaining information about offline map packages that can be installed using a MapLoader. Map packages are arranged in a tree hierarchy, which is represented in the parent and children data of the MapPackage model.  Note: the root map package is the world map. If a MapPackage having children is installed, each child will also be installed, allowing the installation of entire regions. ",getParent(),"Gets the parent of the MapPackage, if it has one.",MapPackage
com.dropbox.core.v2.team.GetActivityReport,"Activity Report Result. Each of the items in the storage report is an array
 of values, one value per day. If there is no data for a day, then the value
 will be None.",getActiveUsers1Day(),Array of the number of users who have been active in the last day.,List<Long>
com.dropbox.core.v2.files.FileMetadata,Builder for FileMetadata.,"newBuilder(String name,
          String id,
          Date clientModified,
          Date serverModified,
          String rev,
          long size)",Returns a new builder for creating an instance of this class.,static FileMetadata.Builder
friends,N/A - VK has no Class Descriptions,addlist,Creates a new friend list for the current user.,Returns the ID of the friend list (list_id) that was created.
com.here.android.mpa.mapping.TransitAccessInfo,Data structure class containing information about Transit Access locations.,getName(),Gets the name for the transit access.,java.lang.String
com.amazon.device.iap.model.UserDataResponse,Represents the result of a call to PurchasingService.getUserData().,getRequestStatus(),Indicates the status of the getUserData call.,UserDataResponse.RequestStatus
com.here.android.mpa.venues3d.LinkingRoute,"Represents a link section of the route. The route can contain sections that are inside venue, outside venue, and link sections that typically connects indoor and outdoor locations together.",getTo(),Returns a geolocation of the end point of this route route section.,GeoCoordinate
messages,N/A - VK has no Class Descriptions,searchconversations,Returns a list of conversations that match search criteria.,Returns the total number of conversations in count field (integer) and array of conversations in items field
com.dropbox.core.v2.sharing.RevokeSharedLinkError,Catch-all used for unknown tag values returned by the Dropbox servers.,valueOf(String name),Returns the enum constant of this type with the specified name.,static RevokeSharedLinkError
