class_name,class_description,method,method_description,data_type
com.adcolony.sdk.AdColony,"Contains static, public API methods.","addCustomMessageListener(AdColonyCustomMessageListener listener,
                        java.lang.String type)","Call this method to set the AdColonyCustomMessageListener for custom message events in
 your app.",static boolean
com.adcolony.sdk.AdColony,"Contains static, public API methods.",clearCustomMessageListeners(),Used to clear all currently registered AdColonyCustomMessageListeners.,static boolean
com.adcolony.sdk.AdColony,"Contains static, public API methods.","configure(android.app.Activity activity,
         AdColonyAppOptions options,
         java.lang.String appId,
         java.lang.String... zoneIds)",Configures AdColony to play ads in your app.,static boolean
com.adcolony.sdk.AdColony,"Contains static, public API methods.","configure(android.app.Activity activity,
         java.lang.String appId,
         java.lang.String... zoneIds)",Configures AdColony to play ads in your app.,static boolean
com.adcolony.sdk.AdColony,"Contains static, public API methods.","configure(android.app.Application app,
         AdColonyAppOptions options,
         java.lang.String appId,
         java.lang.String... zoneIds)",Configures AdColony to play ads in your app.,static boolean
com.adcolony.sdk.AdColony,"Contains static, public API methods.","configure(android.app.Application app,
         java.lang.String appId,
         java.lang.String... zoneIds)",Configures AdColony to play ads in your app.,static boolean
com.adcolony.sdk.AdColony,"Contains static, public API methods.",disable(),"Disables AdColony from requesting and showing ads and destroys any existing VM modules for
 the rest of the app session.",static boolean
com.adcolony.sdk.AdColony,"Contains static, public API methods.",getAppOptions(),Used to retrieve the currently set app options for this session.,static AdColonyAppOptions
com.adcolony.sdk.AdColony,"Contains static, public API methods.",getCustomMessageListener(java.lang.String type),Used to retrieve the currently registered AdColonyCustomMessageListener.,static AdColonyCustomMessageListener
com.adcolony.sdk.AdColony,"Contains static, public API methods.",getRewardListener(),Used to retrieve the global reward listener for this app session.,static AdColonyRewardListener
com.adcolony.sdk.AdColony,"Contains static, public API methods.",getSDKVersion(),Used to retrieve the version String of the AdColony SDK.,static java.lang.String
com.adcolony.sdk.AdColony,"Contains static, public API methods.",getZone(java.lang.String zoneId),Getter for AdColonyZone objects.,static AdColonyZone
com.adcolony.sdk.AdColony,"Contains static, public API methods.","notifyIAPComplete(java.lang.String productId,
                 java.lang.String transId)",Used to provide AdColony with IAP information.,static boolean
com.adcolony.sdk.AdColony,"Contains static, public API methods.","notifyIAPComplete(java.lang.String productId,
                 java.lang.String transId,
                 java.lang.String currencyCode,
                 double price)",Used to provide AdColony with IAP information.,static boolean
com.adcolony.sdk.AdColony,"Contains static, public API methods.",removeCustomMessageListener(java.lang.String type),Used to remove a specific AdColonyCustomMessageListener.,static boolean
com.adcolony.sdk.AdColony,"Contains static, public API methods.",removeRewardListener(),Removes the internal reference to the reward listener to allow for collection.,static boolean
