class_name,class_description,method,method_description,data_type
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",disableLocationListening(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",enableLocationListening(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",enableNewDeviceIdPerInstall(boolean newDeviceIdPerInstall),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",endSession(),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",getDeviceId(),Deprecated.,static java.lang.String
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",getInstance(),Gets the default instance.,static AmplitudeClient
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","initialize(android.content.Context context,          java.lang.String apiKey)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","initialize(android.content.Context context,          java.lang.String apiKey,          java.lang.String userId)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",logEvent(java.lang.String eventType),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","logEvent(java.lang.String eventType,        org.json.JSONObject eventProperties)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",logRevenue(double amount),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","logRevenue(java.lang.String productId,          int quantity,          double price)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","logRevenue(java.lang.String productId,          int quantity,          double price,          java.lang.String receipt,          java.lang.String receiptSignature)",Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",setOptOut(boolean optOut),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",setSessionTimeoutMillis(long sessionTimeoutMillis),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",setUserId(java.lang.String userId),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();",setUserProperties(org.json.JSONObject userProperties),Deprecated.,static void
com.amplitude.api.Amplitude,"Amplitude This is the main Amplitude class that manages SDK instances.  NOTE: All of the methods except getInstance() have been deprecated. Please call those methods on the AmplitudeClient instance instead, for example: Amplitude.getInstance().logEvent();","setUserProperties(org.json.JSONObject userProperties,                 boolean replace)",Deprecated.,static void
