class_name,class_description,method,method_description,data_type
com.android.installreferrer.api.InstallReferrerClient,Main interface for communication between the library and user application code.,endConnection(),Close the connection and release all held resources such as service connections.,abstract                                        void
com.android.installreferrer.api.InstallReferrerClient,Main interface for communication between the library and user application code.,getInstallReferrer(),Get installation referrer details.,abstract                                        ReferrerDetails
com.android.installreferrer.api.InstallReferrerClient,Main interface for communication between the library and user application code.,isReady(),"Checks if the client is currently connected to the service, so that requests to other methods will succeed.",abstract                                        boolean
com.android.installreferrer.api.InstallReferrerClient,Main interface for communication between the library and user application code.,newBuilder(Context context),Constructs a new InstallReferrerClient.Builder instance.,static                        InstallReferrerClient.Builder
com.android.installreferrer.api.InstallReferrerClient,Main interface for communication between the library and user application code.,startConnection(InstallReferrerStateListener listener),Starts up InstallReferrerClient setup process asynchronously.,abstract                                        void
com.android.installreferrer.api.InstallReferrerClient.Builder,Builder to configure and create a InstallReferrer instance.,build(),Creates a Install Referrer client instance.,InstallReferrerClient
com.android.installreferrer.api.InstallReferrerClient.InstallReferrerResponse,Possible return codes.,N/A,N/A,N/A
com.android.installreferrer.commons.InstallReferrerCommons,Helper methods for install referrer client,"logVerbose(String tag, String msg)",Logs a verbose message,static                        void
com.android.installreferrer.commons.InstallReferrerCommons,Helper methods for install referrer client,"logWarn(String tag, String msg)",Logs a warning message,static                        void
com.android.installreferrer.api.InstallReferrerStateListener,Callback for setup process.,onInstallReferrerServiceDisconnected(),Called to notify that connection to install referrer service was lost.,abstract                                        void
com.android.installreferrer.api.InstallReferrerStateListener,Callback for setup process.,onInstallReferrerSetupFinished(int responseCode),Called to notify that setup is complete.,abstract                                        void
com.android.installreferrer.api.ReferrerDetails,Represents an install referrer details.,getGooglePlayInstantParam(),Boolean indicating if the user has interacted with the app's instant experience in the past 7 days.,boolean
com.android.installreferrer.api.ReferrerDetails,Represents an install referrer details.,getInstallBeginTimestampSeconds(),The timestamp in seconds when installation begins.,long
