class_name,class_description,method,method_description,data_type,,
Native Ads,New Native Ads ad unit,single request,requesting one native Ad,,,
Native Ads,New Native Ads ad unit,multiple requests,return X amount of Ads at the same time,,,
Native Ads,New Native Ads ad unit,nativeAd.adImpression(),"The native ad was viewed by the user, and an impression was reported to Appnext",,,
Native Ads,New Native Ads ad unit,nativeAd.onAdClicked(),The native ad was clicked by the user,,,
Native Ads,New Native Ads ad unit,nativeAd.onError(),An error has occurred. The following errors codes are passed in the onError callback.,,,
Native Ads,New Native Ads ad unit,mediaView.setMute(true);,"Boolean. Controls whether the video creative, when in use, play with or without sound. The default value is false.",,,
Native Ads,New Native Ads ad unit,mediaView.setAutoPLay(true);,"Boolean. Controls whether the video creative, when in use, auto-play itself. The default value is true.",,,
Native Ads,New Native Ads ad unit,mediaView.setClickEnabled(true);,"Boolean. Defined the functionality when the user clicks the playing video. When set to true, clicking the video will trigger click event (opens the store), when set to false, the video will pause. The default value is true.",,,
Native Ads,New Native Ads ad unit,"nativeAd.downloadAndDisplayImage(imageView, nativeAd.getIconURL())",The ad Icon,,,
Native Ads,New Native Ads ad unit,nativeAd.getAdTitle(),"This function fetches the Ad title (String, up to 25 characters)",,,
Native Ads,New Native Ads ad unit,nativeAd.getAdDescription(),"This function fetches the Ad description (String, up to 90 characters)",,,
Native Ads,New Native Ads ad unit,nativeAd.getCTAText(),This function fetches the Ad Call-To-Action string (String),,,
Native Ads,New Native Ads ad unit,nativeAd.getStoreDownloads(),This function fetches the amount of downloads the advertisement's app (String),,,
Native Ads,New Native Ads ad unit,nativeAd.getStoreRating(),This function fetches the store rating of advertisment's app (String),,,
Native Ads,New Native Ads ad unit,nativeAd.setPrivacyPolicyPosition(),"Controls on which corner of the nativeAd view the icon will show. Possibe values:

    PrivacyIcon.PP_ICON_POSITION_TOP_RIGHT - Icon is located in the top-right corner of the view (Default)
    PrivacyIcon.PP_ICON_POSITION_TOP_LEFT - Icon is located in the top-left corner of the view
    PrivacyIcon.PP_ICON_POSITION_BOTTOM_RIGHT - Icon is located in the bottom-right corner of the view
    PrivacyIcon.PP_ICON_POSITION_BOTTOM_LEFT - Icon is located in the bottom-left corner of the view
",,,
Native Ads,New Native Ads ad unit,nativeAd.setPrivacyPolicyColor(),"Controls the color texture of the ""i"" icon

    PrivacyIcon.PP_ICON_COLOR_DARK - The icon is shown with a dark texture
    PrivacyIcon.PP_ICON_COLOR_LIGHT - The icon is shown with a light texture (Default)
",,,
Native Ads,New Native Ads ad unit,NativeAdRequest.setCategories(),Set preferred ad categories,,,
Native Ads,New Native Ads ad unit,NativeAdRequest.setPostback(),Postback parameters that will be posted to your server after user installed an app (make sure to encode the values),,,
Native Ads,New Native Ads ad unit,NativeAdRequest.setCachingPolicy(CachingPolicy),"setCachingPolicy - Appnext supports four caching options when loading the native ad;

    CachingPolicy.ALL - The video and wide image will be cached before showing the ad (Default)
    CachingPolicy.NOTHING - No caching at all
    CachingPolicy.VIDEO_ONLY - Only the video in the creative will be cached
    CachingPolicy.STATIC_ONLY - Only the wide image will be cached. None cached assets will be streamed
",,,
Native Ads,New Native Ads ad unit,NativeAdRequest.setCreativeType(NativeAdRequest.CreativeType),"The native ad can filter the ad content based on this setting;

    CreativeType.ALL - Both video and static (Default)
    CreativeType.VIDEO_ONLY - Ads with video type creative only
    CreativeType.STATIC_ONLY - Ads with static type creative only
",,,
Native Ads,New Native Ads ad unit,NativeAdRequest.setVideoLength(NativeAdRequest.VideoLength),"Sets the preferred length of the ad video creative

    VideoLength.SHORT - Up to 15 seconds long videos (Default)
    VideoLength.LONG - 20-60 seconds long videos
",,,
Native Ads,New Native Ads ad unit,NativeAdRequest.setVideoQuality(NativeAdRequest.VideoQuality),"Sets the preferred quality of the ad video creative

    VideoQuality.HIGH - Video will load in a high quality
    VideoQuality.LOW - Video will load in a low quality (Default)
",,,
Native Ads,New Native Ads ad unit,nativeAd.destroy();,Add the following code when you destroy your Activity,,,
Banners,Banners ad unit,"BannerAdRequest.setCategories(""category1, category2"")",String. Set preferred ad categories,,,
Banners,Banners ad unit,"BannerAdRequest.setPostback(""Postback string"")",String. Postback parameters that will be posted to your server after user installed an app (make sure to encode the values),,,
Banners,Banners ad unit,BannerAdRequest.setCreativeType(BannerAdRequest.TYPE_VIDEO),"The MEDIUM_RECTANGLE size can show video in addition to static creative. When video is in use, the file will be streamed (default value is ALL - managed by Appnext)

    BannerAdRequest.TYPE_ALL
    BannerAdRequest.TYPE_VIDEO
    BannerAdRequest.TYPE_STATIC
",,,
