class_name,class_description,method,method_description,data_type
com.dropbox.core.v2.sharing.AccessLevel,Defines the access levels for collaborators.,valueOf(String name),Returns the enum constant of this type with the specified name.,static AccessLevel
com.dropbox.core.v2.sharing.AccessLevel,Defines the access levels for collaborators.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared.",static AccessLevel[]
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",equals(Object obj),N/A,boolean
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getAccountId(),The user's unique Dropbox ID.,String
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getDisabled(),Whether the user has been disabled.,boolean
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getEmail(),The user's e-mail address.,String
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getEmailVerified(),Whether the user has verified their e-mail address.,boolean
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getName(),Details of a user's name.,Name
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",getProfilePhotoUrl(),"URL for the photo representing the user, if one is set.",String
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",hashCode(),N/A,int
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",toString(),N/A,String
com.dropbox.core.v2.users.Account,"The amount of detail revealed about an account depends on the user being
 queried and the user making the query.",toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability.",String
com.dropbox.core.v2.users.AccountType,What type of account this user has.,valueOf(String name),Returns the enum constant of this type with the specified name.,static AccountType
com.dropbox.core.v2.users.AccountType,What type of account this user has.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared.",static AccountType[]
com.dropbox.core.v2.sharing.AclUpdatePolicy,"Policy governing who can change a shared folder's access control list (ACL).
 In other words, who can add, remove, or change the privileges of members.",valueOf(String name),Returns the enum constant of this type with the specified name.,static AclUpdatePolicy
com.dropbox.core.v2.sharing.AclUpdatePolicy,"Policy governing who can change a shared folder's access control list (ACL).
 In other words, who can add, remove, or change the privileges of members.",values(),"Returns an array containing the constants of this enum type, in
the order they are declared.",static AclUpdatePolicy[]
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,equals(Object obj),N/A,boolean
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getBrowser(),Information on the browser used for this web session,String
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getCountry(),The country from which the last activity from this session was made,String
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getCreated(),The time this session was created,Date
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getIpAddress(),The IP address of the last activity from this session,String
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getOs(),Information on the hosting operating system,String
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getSessionId(),The session id,String
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getUpdated(),The time of the last activity from this session,Date
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,getUserAgent(),Information on the hosting device,String
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,hashCode(),N/A,int
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,"newBuilder(String sessionId,
          String userAgent,
          String os,
          String browser)",Returns a new builder for creating an instance of this class.,static ActiveWebSession.Builder
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,toString(),N/A,String
com.dropbox.core.v2.team.ActiveWebSession,Information on active web sessions,toStringMultiline(),"Returns a String representation of this object formatted for easier
 readability.",String
com.dropbox.core.v2.team.ActiveWebSession.Builder,Builder for ActiveWebSession.,build(),"Builds an instance of ActiveWebSession configured with this
 builder's values",ActiveWebSession
com.dropbox.core.v2.team.ActiveWebSession.Builder,Builder for ActiveWebSession.,withCountry(String country),Set value for optional field.,ActiveWebSession.Builder
com.dropbox.core.v2.team.ActiveWebSession.Builder,Builder for ActiveWebSession.,withCreated(Date created),Set value for optional field.,ActiveWebSession.Builder
com.dropbox.core.v2.team.ActiveWebSession.Builder,Builder for ActiveWebSession.,withIpAddress(String ipAddress),Set value for optional field.,ActiveWebSession.Builder
com.dropbox.core.v2.team.ActiveWebSession.Builder,Builder for ActiveWebSession.,withUpdated(Date updated),Set value for optional field.,ActiveWebSession.Builder
com.dropbox.core.v2.sharing.AddFileMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFileMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.MemberSelector>).

  Use this class to set optional request parameters and complete the
 request. ",start(),Issues the request.,List<FileMemberActionResult>
com.dropbox.core.v2.sharing.AddFileMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFileMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.MemberSelector>).

  Use this class to set optional request parameters and complete the
 request. ",withAccessLevel(AccessLevel accessLevel),Set value for optional field.,AddFileMemberBuilder
com.dropbox.core.v2.sharing.AddFileMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFileMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.MemberSelector>).

  Use this class to set optional request parameters and complete the
 request. ",withAddMessageAsComment(Boolean addMessageAsComment),Set value for optional field.,AddFileMemberBuilder
com.dropbox.core.v2.sharing.AddFileMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFileMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.MemberSelector>).

  Use this class to set optional request parameters and complete the
 request. ",withCustomMessage(String customMessage),Set value for optional field.,AddFileMemberBuilder
com.dropbox.core.v2.sharing.AddFileMemberBuilder,"The request builder returned by DbxUserSharingRequests.addFileMemberBuilder(java.lang.String, java.util.List<com.dropbox.core.v2.sharing.MemberSelector>).

  Use this class to set optional request parameters and complete the
 request. ",withQuiet(Boolean quiet),Set value for optional field.,AddFileMemberBuilder
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",accessError(SharingFileAccessError value),"Returns an instance of AddFileMemberError that has its tag set to
 AddFileMemberError.Tag.ACCESS_ERROR.",static AddFileMemberError
com.dropbox.core.v2.sharing.AddFileMemberError,"Errors for DbxUserSharingRequests.addFileMember(String,java.util.List).

  This class is an open tagged union.  Tagged unions instances are always
 associated to a specific tag.  This means only one of the isAbc()
 methods will return true. You can use tag() to determine the
 tag associated with this instance. 

  Open unions may be extended in the future with additional tags. If a new
 tag is introduced that this SDK does not recognized, the OTHER value
 will be used. ",equals(Object obj),N/A,boolean
