class_name,class_description,method,method_description,data_type
com.google.android.gms.ads.AdListener,A listener for receiving notifications during the            lifecycle of an ad.,onAdClicked(),Called when a click is recorded for an ad.,void
com.google.android.gms.ads.AdListener,A listener for receiving notifications during the            lifecycle of an ad.,onAdClosed(),"Called when the user is about to return to the application after clicking on an
                    ad.",void
com.google.android.gms.ads.AdListener,A listener for receiving notifications during the            lifecycle of an ad.,onAdFailedToLoad(int errorCode),Called when an ad request failed.,void
com.google.android.gms.ads.AdListener,A listener for receiving notifications during the            lifecycle of an ad.,onAdImpression(),Called when an impression is recorded for an ad.,void
com.google.android.gms.ads.AdListener,A listener for receiving notifications during the            lifecycle of an ad.,onAdLeftApplication(),"Called when an ad leaves the application (e.g., to go to the browser).",void
com.google.android.gms.ads.AdListener,A listener for receiving notifications during the            lifecycle of an ad.,onAdLoaded(),Called when an ad is received.,void
com.google.android.gms.ads.AdListener,A listener for receiving notifications during the            lifecycle of an ad.,onAdOpened(),Called when an ad opens an overlay that covers the screen.,void
com.google.android.gms.ads.AdLoader,An object for requesting ads.,getMediationAdapterClassName(),"This method is deprecated. Use 
                    getMediationAdapterClassName() or 
                    getMediationAdapterClassName() instead.","
                String
              "
com.google.android.gms.ads.AdLoader,An object for requesting ads.,isLoading(),Returns true if the ad is loading.,boolean
com.google.android.gms.ads.AdLoader,An object for requesting ads.,"loadAd(PublisherAdRequest
                  publisherAdRequest)",Send a request for an ad.,void
com.google.android.gms.ads.AdLoader,An object for requesting ads.,"loadAd(AdRequest
                  adRequest)",Send a request for an ad.,void
com.google.android.gms.ads.AdLoader,An object for requesting ads.,"loadAds(AdRequest
                  adRequest, int maxNumberOfAds)",Send a request for maxNumberOfAds ads.,void
com.google.android.gms.ads.AdLoader.Builder,Builder for a AdLoader.,build(),N/A,"
                AdLoader
              "
com.google.android.gms.ads.AdLoader.Builder,Builder for a AdLoader.,"forAppInstallAd(NativeAppInstallAd.OnAppInstallAdLoadedListener
                  listener)","This method is deprecated. Use 
                    forUnifiedNativeAd(UnifiedNativeAd.OnUnifiedNativeAdLoadedListener).","
                AdLoader.Builder
              "
com.google.android.gms.ads.AdLoader.Builder,Builder for a AdLoader.,"forContentAd(NativeContentAd.OnContentAdLoadedListener
                  listener)","This method is deprecated. Use 
                    forUnifiedNativeAd(UnifiedNativeAd.OnUnifiedNativeAdLoadedListener).","
                AdLoader.Builder
              "
com.google.android.gms.ads.AdLoader.Builder,Builder for a AdLoader.,"forCustomTemplateAd(String templateId,
                  
                  NativeCustomTemplateAd.OnCustomTemplateAdLoadedListener adLoadedListener,
                  
                  NativeCustomTemplateAd.OnCustomClickListener customClickListener)",N/A,"
                AdLoader.Builder
              "
com.google.android.gms.ads.AdLoader.Builder,Builder for a AdLoader.,"forPublisherAdView(OnPublisherAdViewLoadedListener
                  listener, AdSize...
                  adSizes)",N/A,"
                AdLoader.Builder
              "
com.google.android.gms.ads.AdLoader.Builder,Builder for a AdLoader.,"forUnifiedNativeAd(UnifiedNativeAd.OnUnifiedNativeAdLoadedListener
                  listener)",Registers a listener to handle UnifiedNativeAd.,"
                AdLoader.Builder
              "
com.google.android.gms.ads.AdLoader.Builder,Builder for a AdLoader.,"withAdListener(AdListener
                  listener)",N/A,"
                AdLoader.Builder
              "
com.google.android.gms.ads.AdLoader.Builder,Builder for a AdLoader.,"withNativeAdOptions(NativeAdOptions
                  options)",N/A,"
                AdLoader.Builder
              "
com.google.android.gms.ads.AdLoader.Builder,Builder for a AdLoader.,"withPublisherAdViewOptions(PublisherAdViewOptions
                  options)",N/A,"
                AdLoader.Builder
              "
com.google.android.gms.ads.AdRequest,An AdRequest            contains targeting information used to fetch an ad.,getBirthday(),This method is deprecated. No replacement.,"
                Date
              "
com.google.android.gms.ads.AdRequest,An AdRequest            contains targeting information used to fetch an ad.,getContentUrl(),Returns the content URL targeting information.,"
                String
              "
com.google.android.gms.ads.AdRequest,An AdRequest            contains targeting information used to fetch an ad.,"getCustomEventExtrasBundle(Class<T>
                  adapterClass)",Returns extra parameters to pass to a specific custom event adapter.,"
                <T extends CustomEvent>
                Bundle
              "
com.google.android.gms.ads.AdRequest,An AdRequest            contains targeting information used to fetch an ad.,getGender(),This method is deprecated. No replacement.,int
com.google.android.gms.ads.AdRequest,An AdRequest            contains targeting information used to fetch an ad.,getKeywords(),Returns targeting information keywords.,"
                Set<String>
              "
com.google.android.gms.ads.AdRequest,An AdRequest            contains targeting information used to fetch an ad.,getLocation(),Returns the user's location targeting information.,"
                Location
              "
com.google.android.gms.ads.AdRequest,An AdRequest            contains targeting information used to fetch an ad.,getNeighboringContentUrls(),"Returns the list of neighboring content URLs or an empty list if no URLs were
                    set.","
                List<String>
              "
com.google.android.gms.ads.AdRequest,An AdRequest            contains targeting information used to fetch an ad.,"getNetworkExtras(Class<T>
                  networkExtrasClass)",Returns extra parameters to pass to a specific ad network adapter.,"
                <T extends NetworkExtras>
                T
              "
com.google.android.gms.ads.AdRequest,An AdRequest            contains targeting information used to fetch an ad.,"getNetworkExtrasBundle(Class<T>
                  adapterClass)",Returns extra parameters to pass to a specific ad network adapter.,"
                <T extends MediationExtrasReceiver>
                Bundle
              "
com.google.android.gms.ads.AdRequest,An AdRequest            contains targeting information used to fetch an ad.,"isTestDevice(Context
                  context)",Returns true if this device will receive test ads.,boolean
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,"addCustomEventExtrasBundle(Class<? extends CustomEvent>
                  adapterClass, Bundle
                  customEventExtras)",Add extra parameters to pass to a specific custom event adapter.,"
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,addKeyword(String keyword),Add a keyword for targeting purposes.,"
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,"addNetworkExtras(NetworkExtras
                  networkExtras)",Add extra parameters to pass to a specific ad network adapter.,"
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,"addNetworkExtrasBundle(Class<? extends MediationExtrasReceiver>
                  adapterClass, Bundle
                  networkExtras)",Add extra parameters to pass to a specific ad network adapter.,"
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,addTestDevice(String deviceId),"This method is deprecated. Use 
                    setTestDeviceIds(List).","
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,build(),"Constructs an AdRequest
                    with the specified attributes.","
                AdRequest
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,setBirthday(Date birthday),This method is deprecated. No replacement.,"
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,setContentUrl(String contentUrl),"Sets the content URL for a web site whose content matches the app's primary
                    content.","
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,setGender(int gender),This method is deprecated. No replacement.,"
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,setIsDesignedForFamilies(boolean isDesignedForFamilies),"This method is deprecated. Use Ad
                    Content Filtering.","
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,"setLocation(Location
                  location)",Sets the user's location for targeting purposes.,"
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,"setMaxAdContentRating(String
                  maxAdContentRating)","This method is deprecated. See 
                    setMaxAdContentRating(String)","
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,"setNeighboringContentUrls(List<String>
                  neighboringContentUrls)",Sets URLs representing web content near an ad.,"
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,"setRequestAgent(String
                  requestAgent)",Sets the request agent string to identify the ad request's origin.,"
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,setTagForUnderAgeOfConsent(int tagForUnderAgeOfConsent),"This method is deprecated. See 
                    setTagForUnderAgeOfConsent(int)","
                AdRequest.Builder
              "
com.google.android.gms.ads.AdRequest.Builder,Builds an AdRequest.,tagForChildDirectedTreatment(boolean tagForChildDirectedTreatment),"This method is deprecated. See 
                    setTagForChildDirectedTreatment(int)","
                AdRequest.Builder
              "
com.google.android.gms.ads.AdSize,The size of a banner ad.,equals(Object other),"Compares this AdSize
                    with the specified object and indicates if they are equal.",boolean
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getCurrentOrientationAnchoredAdaptiveBannerAdSize(Context
                  context, int width)","Returns an AdSize
                    with the given width and a Google-optimized height to create a banner ad.","
                static AdSize
              "
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getCurrentOrientationBannerAdSizeWithWidth(Context
                  context, int width)","This method is deprecated. Use 
                    getCurrentOrientationAnchoredAdaptiveBannerAdSize(Context, int)
                    instead.","
                static AdSize
              "
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getCurrentOrientationInlineAdaptiveBannerAdSize(Context
                  context, int width)","Returns an AdSize
                    with the given width and a height of 0.","
                static AdSize
              "
com.google.android.gms.ads.AdSize,The size of a banner ad.,getHeight(),"Returns the height of this AdSize
                    in density-independent pixels.",int
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getHeightInPixels(Context
                  context)","Returns the height of this AdSize
                    in physical pixels.",int
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getLandscapeAnchoredAdaptiveBannerAdSize(Context
                  context, int width)","Returns an AdSize
                    with the given width and a Google-optimized height to create a banner ad.","
                static AdSize
              "
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getLandscapeBannerAdSizeWithWidth(Context
                  context, int width)","This method is deprecated. Use 
                    getLandscapeAnchoredAdaptiveBannerAdSize(Context, int) instead.","
                static AdSize
              "
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getLandscapeInlineAdaptiveBannerAdSize(Context
                  context, int width)","Returns an AdSize
                    with the given width and a height of 0.","
                static AdSize
              "
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getPortraitAnchoredAdaptiveBannerAdSize(Context
                  context, int width)","Returns an AdSize
                    with the given width and a Google-optimized height to create a banner ad.","
                static AdSize
              "
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getPortraitBannerAdSizeWithWidth(Context
                  context, int width)","This method is deprecated. Use 
                    getPortraitAnchoredAdaptiveBannerAdSize(Context, int) instead.","
                static AdSize
              "
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getPortraitInlineAdaptiveBannerAdSize(Context
                  context, int width)","Returns an AdSize
                    with the given width and a height of 0.","
                static AdSize
              "
com.google.android.gms.ads.AdSize,The size of a banner ad.,getWidth(),"Returns the width of this AdSize
                    in density-independent pixels.",int
com.google.android.gms.ads.AdSize,The size of a banner ad.,"getWidthInPixels(Context
                  context)","Returns the width of this AdSize
                    in physical pixels.",int
com.google.android.gms.ads.AdSize,The size of a banner ad.,hashCode(),N/A,int
com.google.android.gms.ads.AdSize,The size of a banner ad.,isAutoHeight(),"Returns whether this AdSize
                    is auto-height.",boolean
com.google.android.gms.ads.AdSize,The size of a banner ad.,isFluid(),"Returns whether this AdSize
                    is of fluid size or not.",boolean
com.google.android.gms.ads.AdSize,The size of a banner ad.,isFullWidth(),"Returns whether this AdSize
                    is full-width.",boolean
com.google.android.gms.ads.AdSize,The size of a banner ad.,toString(),N/A,"
                String
              "
com.google.android.gms.ads.AdValue,The monetary value earned from an ad.,getCurrencyCode(),The value's ISO 4217 currency code.,"
                String
              "
com.google.android.gms.ads.AdValue,The monetary value earned from an ad.,getPrecisionType(),The precision type of the reported ad value.,int
com.google.android.gms.ads.AdValue,The monetary value earned from an ad.,getValueMicros(),"The ad's value in micro-units, where 1,000,000 micro-units equal one unit of
                    the currency.",long
com.google.android.gms.ads.AdView,The View to display            banner ads.,destroy(),Destroy the ad view.,void
com.google.android.gms.ads.AdView,The View to display            banner ads.,getAdListener(),"Returns the AdListener
                      for this ad view.","
                  AdListener
                "
com.google.android.gms.ads.AdView,The View to display            banner ads.,getAdSize(),Returns the size of the ad.,"
                  AdSize
                "
com.google.android.gms.ads.AdView,The View to display            banner ads.,getAdUnitId(),Returns the ad unit ID.,"
                  String
                "
com.google.android.gms.ads.AdView,The View to display            banner ads.,getMediationAdapterClassName(),"This method is deprecated. Use 
                      getResponseInfo() and 
                      getMediationAdapterClassName().","
                  String
                "
com.google.android.gms.ads.AdView,The View to display            banner ads.,getResponseInfo(),"Returns the ResponseInfo
                      object for the loaded ad.","
                  ResponseInfo
                "
com.google.android.gms.ads.AdView,The View to display            banner ads.,isLoading(),Returns true if the ad is loading.,boolean
com.google.android.gms.ads.AdView,The View to display            banner ads.,"loadAd(AdRequest
                    adRequest)",Loads an ad.,void
com.google.android.gms.ads.AdView,The View to display            banner ads.,pause(),Pauses any extra processing associated with this ad view.,void
com.google.android.gms.ads.AdView,The View to display            banner ads.,resume(),Resumes an ad view after a previous call to pause().,void
com.google.android.gms.ads.AdView,The View to display            banner ads.,"setAdListener(AdListener
                    adListener)","Sets an AdListener
                      for this ad view.",void
com.google.android.gms.ads.AdView,The View to display            banner ads.,setAdSize(AdSize adSize),Sets the size of the ad.,void
com.google.android.gms.ads.AdView,The View to display            banner ads.,setAdUnitId(String adUnitId),Sets the ad unit ID.,void
com.google.android.gms.ads.AdView,The View to display            banner ads.,"setOnPaidEventListener(OnPaidEventListener
                    listener)","Register a callback to be invoked when this ad is estimated to have earned
                      money.",void
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,getAdListener(),"Returns the AdListener
                    for this InterstitialAd.","
                AdListener
              "
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,getAdUnitId(),Returns the ad unit ID.,"
                String
              "
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,getMediationAdapterClassName(),"This method is deprecated. Use 
                    getResponseInfo() and 
                    getMediationAdapterClassName().","
                String
              "
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,getResponseInfo(),"Returns the ResponseInfo
                    object for the loaded ad.","
                ResponseInfo
              "
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,isLoaded(),"Returns true if the ad was successfully loaded and is ready to be
                    shown.",boolean
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,isLoading(),Returns true if the ad is loading.,boolean
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,"loadAd(AdRequest
                  adRequest)",Loads an ad.,void
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,"setAdListener(AdListener
                  adListener)","Sets an AdListener
                    for this InterstitialAd.",void
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,setAdUnitId(String adUnitId),Sets the ad unit ID.,void
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,setImmersiveMode(boolean immersiveModeEnabled),"Sets a flag that controls if this interstitial object will be displayed in
                    immersive mode.",void
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,"setOnPaidEventListener(OnPaidEventListener
                  listener)","Register a callback to be invoked when this ad is estimated to have earned
                    money.",void
com.google.android.gms.ads.InterstitialAd,Full-screen interstitial ads.,show(),Show the interstitial ad.,void
com.google.android.gms.ads.MediationUtils,Utility methods for mediation adapters.,"findClosestSize(Context
                  context, AdSize original,
                  List<AdSize>
                  potentials)","Find the closest supported AdSize from the list of potentials to the provided
                    size.","
                static AdSize
              "
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,getInitializationStatus(),Gets the SDK initialization status.,"
                static 
                InitializationStatus
              "
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,getRequestConfiguration(),Gets the global RequestConfiguration.,"
                static RequestConfiguration
              "
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,"getRewardedVideoAdInstance(Context
                  context)",Gets the rewarded video ad instance.,"
                static RewardedVideoAd
              "
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,getVersionString(),Gets the version string of Google Mobile Ads SDK.,"
                static String
              "
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,"initialize(Context
                  context, String
                  applicationCode)","This method is deprecated. Use 
                    initialize(Context, OnInitializationCompleteListener) instead.",static void
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,"initialize(Context
                  context)",Initializes the Google Mobile Ads SDK.,static void
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,"initialize(Context
                  context, String
                  applicationCode, MobileAds.Settings
                  settings)","This method is deprecated. Use 
                    initialize(Context, OnInitializationCompleteListener) instead.",static void
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,"initialize(Context
                  context, 
                  OnInitializationCompleteListener listener)",Initializes the Google Mobile Ads SDK.,static void
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,"openDebugMenu(Context
                  context, String adUnitId)",Opens the debug menu for creative preview and troubleshooting of DFP ad units.,static void
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,setAppMuted(boolean muted),Sets the current app mute state.,static void
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,setAppVolume(float volume),Sets the current app volume.,static void
com.google.android.gms.ads.MobileAds,Class contains logic that applies to the Google            Mobile Ads SDK as a whole.,"setRequestConfiguration(RequestConfiguration
                  requestConfiguration)","Sets the global RequestConfiguration
                    that will be used for every AdRequest
                    during the app's session.",static void
com.google.android.gms.ads.MobileAds.Settings,This class is deprecated. This class is no            longer used and has no replacement.,getTrackingId(),"This method is deprecated. This method is no longer used and has no
                    replacement.","
                String
              "
com.google.android.gms.ads.MobileAds.Settings,This class is deprecated. This class is no            longer used and has no replacement.,isGoogleAnalyticsEnabled(),"This method is deprecated. This method is no longer used and has no
                    replacement.",boolean
com.google.android.gms.ads.MobileAds.Settings,This class is deprecated. This class is no            longer used and has no replacement.,setGoogleAnalyticsEnabled(boolean enable),"This method is deprecated. This method is no longer used and has no
                    replacement.","
                MobileAds.Settings
              "
com.google.android.gms.ads.MobileAds.Settings,This class is deprecated. This class is no            longer used and has no replacement.,setTrackingId(String trackingId),"This method is deprecated. This method is no longer used and has no
                    replacement.","
                MobileAds.Settings
              "
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,destroy(),Destroy the ad view.,void
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,getAdListener(),"Returns the AdListener
                      for this ad view.","
                  AdListener
                "
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,getAdSize(),Returns the size of the ad.,"
                  AdSize
                "
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,getAdUnitId(),Returns the ad unit ID.,"
                  String
                "
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,getMediationAdapterClassName(),"This method is deprecated. Use 
                      getResponseInfo() and 
                      getMediationAdapterClassName().","
                  String
                "
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,getResponseInfo(),"Returns the ResponseInfo
                      object for the loaded ad.","
                  ResponseInfo
                "
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,getVideoController(),"Return the VideoController
                      for this ad view.","
                  VideoController
                "
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,getVideoOptions(),"Return the VideoOptions
                      for this ad view.","
                  VideoOptions
                "
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,isLoading(),Returns true if the ad is loading.,boolean
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,"loadAd(AdRequest
                    adRequest)",Loads an ad.,void
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,pause(),Pauses any extra processing associated with this ad view.,void
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,resume(),"Resumes an ad view after a previous call to 
                      pause().",void
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,"setAdListener(AdListener
                    adListener)","Sets an AdListener
                      for this ad view.",void
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,setAdSize(AdSize adSize),Sets the size of the ad.,void
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,setAdUnitId(String adUnitId),Sets the ad unit ID.,void
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,"setOnPaidEventListener(OnPaidEventListener
                    listener)","Register a callback to be invoked when this ad is estimated to have earned
                      money.",void
com.google.android.gms.ads.NativeExpressAdView,The View to display            native express ads.,"setVideoOptions(VideoOptions
                    videoOptions)","Set the VideoOptions
                      for this ad view.",void
com.google.android.gms.ads.RequestConfiguration,Global configuration that will be used for every            AdRequest.,getMaxAdContentRating(),"Returns the value set by the corresponding 
                    setMaxAdContentRating(String).","
                String
              "
com.google.android.gms.ads.RequestConfiguration,Global configuration that will be used for every            AdRequest.,getTagForChildDirectedTreatment(),"Returns the value set by the corresponding 
                    setTagForChildDirectedTreatment(int).",int
