class_name,class_description,method,method_description,data_type
com.mixpanel.android.mpmetrics.AutomaticEvents,N/A,N/A,N/A,N/A
com.mixpanel.android.mpmetrics.ExceptionHandler,N/A,init(),N/A,static void
com.mixpanel.android.mpmetrics.ExceptionHandler,N/A,"uncaughtException​(java.lang.Thread t,
                 java.lang.Throwable e)",N/A,void
com.mixpanel.android.viewcrawler.GestureTracker,"Tracking ABTesting Gestures
 $ab_gesture1 = 4 times two finger tap when last tap is hold for 3 seconds
 $ab_gesture2 = 5 times two finger tap",N/A,N/A,N/A
com.mixpanel.android.mpmetrics.InAppButton,N/A,describeContents(),N/A,int
com.mixpanel.android.mpmetrics.InAppButton,N/A,getBackgroundColor(),N/A,int
com.mixpanel.android.mpmetrics.InAppButton,N/A,getBorderColor(),N/A,int
com.mixpanel.android.mpmetrics.InAppButton,N/A,getCtaUrl(),N/A,java.lang.String
com.mixpanel.android.mpmetrics.InAppButton,N/A,getText(),N/A,java.lang.String
com.mixpanel.android.mpmetrics.InAppButton,N/A,getTextColor(),N/A,int
com.mixpanel.android.mpmetrics.InAppButton,N/A,toString(),N/A,java.lang.String
com.mixpanel.android.mpmetrics.InAppButton,N/A,"writeToParcel​(android.os.Parcel dest,
             int flags)",N/A,void
com.mixpanel.android.mpmetrics.InAppNotification,"InApp Notifications in Mixpanel are either TAKEOVERs, that display full screen,
 or MINI notifications that appear and disappear on the margins of the screen.",describeContents(),N/A,int
com.mixpanel.android.mpmetrics.InAppNotification,"InApp Notifications in Mixpanel are either TAKEOVERs, that display full screen,
 or MINI notifications that appear and disappear on the margins of the screen.",getBackgroundColor(),N/A,int
com.mixpanel.android.mpmetrics.InAppNotification,"InApp Notifications in Mixpanel are either TAKEOVERs, that display full screen,
 or MINI notifications that appear and disappear on the margins of the screen.",getBody(),N/A,java.lang.String
com.mixpanel.android.mpmetrics.InAppNotification,"InApp Notifications in Mixpanel are either TAKEOVERs, that display full screen,
 or MINI notifications that appear and disappear on the margins of the screen.",getBodyColor(),N/A,int
