class_name,class_description,method,method_description,data_type
com.pollfish.main.PollFish,,PollFish.show();,You can manually show or hide Pollfish indicator or survey panel by calling anywhere in your activity after the initialization line:,
com.pollfish.main.PollFish,,PollFish.hide();,You can manually show or hide Pollfish indicator or survey panel by calling anywhere in your activity after the initialization line:,
com.pollfish.main.PollFish,,"PollFish.initWith(Activity activity, ParamsBuilder paramsBuilder);",,
com.pollfish.main.PollFish,,PollFish.isPollfishPresent();,It happens that time had past since you initialized Pollfish and a survey is received. If you want to check if survey is still avaialble on your device and has not expired you can check by calling:,
com.pollfish.interfaces.PollfishReceivedSurveyListener,"You can be notified when a Pollfish survey is received. With this notification publisher can also get informed about the type of survey that was received, money to be earned if survey gets completed, shown in USD cents and other info around the survey such as LOI and IR.",onPollfishSurveyReceived(SurveyInfo surveyInfo),,
com.pollfish.interfaces.PollfishSurveyNotAvailableListener,You can be notified when Pollfish survey is not available.,onPollfishSurveyNotAvailable(),,
com.pollfish.interfaces.PollfishCompletedSurveyListener,,onPollfishSurveyCompleted(SurveyInfo surveyInfo),,
com.pollfish.interfaces.PollfishUserNotEligibleListener,,onUserNotEligible(),,
com.pollfish.constants.Position,,,,
com.pollfish.interfaces.PollfishClosedListener,You can be notified when a Pollfish survey panel has closed. Publishers usually use this notification to resume a game that they have previously paused when Pollfish panel opened.,onPollfishClosed (),,
com.pollfish.interfaces.PollfishOpenedListener,You can be notified when a Pollfish survey panel has opened. Publishers usually use this notification to pause a game until Pollfish panel is closed again.,onPollfishOpened (),,
com.pollfish.main.PollFish.ParamsBuilder,"After linking your project to Google Play Services you can easily initialize Pollfish. In order to initialize, you will need to create an instance of ParamsBuilder. ParamsBuilder has only one mandatory parameter which is the API key of your app (step 2 above).","ParamsBuilder paramsBuilder = new ParamsBuilder(String ""YOUR_API_KEY"").build();",,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.indicatorPosition(int position),Sets the Position where you wish to place the Pollfish indicator,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.requestUUID(String requestUUID),Sets a unique id to identify a user and be passed through server-to-server callbacks,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.indicatorPadding(int padding),Sets padding (in dp) from top or bottom according to the Position of the indicator,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.userLayout(ViewGroup userLayout),Sets User View layout that Pollfish surveys will be rendered above it,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.releaseMode(boolean releaseMode),Sets Pollfish SDK to Developer or Release mode,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.customMode(boolean customMode),Initializes Pollfish in custom mode,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.pollfishSurveyReceivedListener(PollfishSurveyReceivedListener pollfishSurveyReceivedListener),Sets a notification listener when Pollfish Survey is received,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.pollfishSurveyNotAvailableListener(PollfishSurveyNotAvailableListener pollfishSurveyNotAvailableListener),Sets a notification listener when Pollfish Survey is not available,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.pollfishSurveyCompletedListener(PollfishSurveyCompletedListener pollfishSurveyCompletedListener),Sets a notification listener when Pollfish Survey is completed,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.pollfishUserNotEligibleListener(PollfishUserNotEligibleListener pollfishUserNotEligibleListener),Sets a notification listener when a user is not eligible for a Pollfish survey,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.pollfishUserRejectedSurveyListener(PollfishUserRejectedSurveyListener pollfishUserRejectedSurveyListener),Sets a notification listener when a user rejects a survey,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.pollfishOpenedListener(PollfishOpenedListener pollfishOpenedListener),Sets a notification listener when Pollfish Survey panel is opened,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.pollfishClosedListener(PollfishClosedListener pollfishClosedListener),Sets a notification listener when Pollfish Survey panel is closed,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.userProperties(UserProperties userProperties),Send user attributes to skip or shorten Pollfish demographic surveys,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.surveyFormat(SurveyFormat surveyFormat),Requests a specific survey format (only in debug mode),
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.pollfishReceivedSurveyListener(PollfishReceivedSurveyListener pollfishReceivedSurveyListener),Sets a notification listener when Pollfish Survey is received,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.pollfishCompletedSurveyListener(PollfishCompletedSurveyListener pollfishCompletedSurveyListener),Sets a notification listener when Pollfish Survey is completed,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.rewardMode(boolean rewardMode),Initializes Pollfish in reward mode,
com.pollfish.main.PollFish.ParamsBuilder,,paramsBuilder.offerWallMode(boolean offerWallMode),Sets Pollfish to offerwall mode.,
