class_name,class_description,method,method_description,data_type
CreativeKit.SnapCreative,This top-level module provides the Creative Kit APIs.,getApi(Context context),Getter method for the SnapCreativeKitApi,SnapCreativeKitApi
CreativeKit.SnapCreative,This top-level module provides the Creative Kit APIs.,getMediaFactory(Context context),Getter method for the SnapMediaFactory,SnapMediaFactory
CreativeKit.SnapCreativeKitApi,This is the Creative Kit API module.,send(SnapContent content),Method to send your SnapContent to Snapchat,void
CreativeKit.SnapCreativeKitApi,This is the Creative Kit API module.,"sendWithCompletionHandler(SnapContent content, SnapCreativeKitCompletionCallback callback)",Method to send your SnapContent to Snapchat with a completion handler indicating if Snapchat was opened,void
CreativeKit.SnapCreativeKitCompletionCallback,Callback interface for the CreativeKitApi send method,onSendSuccess(),Callback called when the user is successfully directed to Snapchat.,void
CreativeKit.SnapCreativeKitCompletionCallback,Callback interface for the CreativeKitApi send method,onSendFailed(SnapCreativeKitSendError error),Callback called when an error occurs while attempting to share to Snapchat using Creative Kit.,void
CreativeKit.SnapMediaFactory,Use this class to create new media files.,getSnapVideoFromFile(java.io.File file),Factory method to create a SnapVideoFile instance given a video file,SnapVideoFile
CreativeKit.SnapMediaFactory,Use this class to create new media files.,getSnapPhotoFromFile(java.io.File file),Factory method to create a SnapPhotoFile instance given a photo file,SnapPhotoFile
CreativeKit.SnapMediaFactory,Use this class to create new media files.,getSnapStickerFromFile(java.io.File file),Factory method to create a SnapSticker instance given a sticker file,SnapSticker
CreativeKit.SnapPhotoFile,This model holds a photo file.,getPhotoFile(),Getter method for the photo file,java.io.File
CreativeKit.SnapPhotoContent,This is a model of the SnapContent class for sharing a still image to Snapchat preview.,N/A,N/A,N/A
CreativeKit.SnapVideoContent,This is a model of the SnapContent class for sharing video content to Snapchat preview.,N/A,N/A,N/A
CreativeKit.SnapSticker,This class holds the sticker data to overlay on the Snap's content.,setRotationDegreesClockwise(float rotation),Setter method for the rotation to apply on the sticker,void
CreativeKit.SnapSticker,This class holds the sticker data to overlay on the Snap's content.,setPosX(float positionX),Setter method for the horizontal position of the sticker,void
CreativeKit.SnapSticker,This class holds the sticker data to overlay on the Snap's content.,setPosY(float positionY),Setter method for the vertical position of the sticker,void
CreativeKit.SnapSticker,This class holds the sticker data to overlay on the Snap's content.,setWidth(float width),"Setter method for the width of the sticker, in pixels",void
CreativeKit.SnapSticker,This class holds the sticker data to overlay on the Snap's content.,setHeight(float height),"Setter method for the height of the sticker, in pixels",void
CreativeKit.SnapSticker,This class holds the sticker data to overlay on the Snap's content.,getStickerFile(),Getter for the sticker file,java.io.File
