class_name,class_description,method,method_description,data_type
sqip.BuyerAction,Indicates the action that will be performed onto the card payment source id after retrieving the verification token.,N/A,N/A,N/A
sqip.BuyerAction.Charge,Action that will charge the card payment source id with Money.amount in the specified Money.currencyCode,component1(),N/A,Money
sqip.BuyerAction.Charge,Action that will charge the card payment source id with Money.amount in the specified Money.currencyCode,copy(Money money),Action that will charge the card payment source id with Money.amount in the specified Money.currencyCode,BuyerAction.Charge
sqip.BuyerAction.Charge,Action that will charge the card payment source id with Money.amount in the specified Money.currencyCode,equals(java.lang.Object p),N/A,boolean
sqip.BuyerAction.Charge,Action that will charge the card payment source id with Money.amount in the specified Money.currencyCode,getMoney(),N/A,Money
sqip.BuyerAction.Charge,Action that will charge the card payment source id with Money.amount in the specified Money.currencyCode,hashCode(),N/A,int
sqip.BuyerAction.Charge,Action that will charge the card payment source id with Money.amount in the specified Money.currencyCode,toString(),N/A,java.lang.String
sqip.BuyerAction.Store,Action that will store the card paymentSourceId.,equals(java.lang.Object other),N/A,boolean
sqip.BuyerAction.Store,Action that will store the card paymentSourceId.,hashCode(),N/A,int
sqip.BuyerVerification,Lets the application retrieve a verification token for a payment source ID.,"handleActivityResult(Intent intent,                    Callback<sqip.BuyerVerificationResult> callback)",Use this function to handle results of the buyer verification activity. This function should be calledfrom Activity.onActivityResult with the provided data parameter.callback will be called immediately with the result of the buyer verification activity.BuyerVerificationActivityCommand,void
sqip.BuyerVerification,Lets the application retrieve a verification token for a payment source ID.,"verify(Activity activity,      VerificationParameters verificationParameters,      int requestCode)",Starts an activity that requests a verification token for a card paymentSourceId.,void
sqip.BuyerVerificationResult,Represents the result of a BuyerVerification.verify operation. The result will be aninstance of class BuyerVerificationResult.Success if the operation is successful or class BuyerVerificationResult.Error if the operation failed.,getErrorValue(),The result of an erroneous BuyerVerification.verify operation.,BuyerVerificationResult.Error
sqip.BuyerVerificationResult,Represents the result of a BuyerVerification.verify operation. The result will be aninstance of class BuyerVerificationResult.Success if the operation is successful or class BuyerVerificationResult.Error if the operation failed.,getSuccessValue(),The result of a successful BuyerVerification.verify operation.,BuyerVerificationResult.Success
sqip.BuyerVerificationResult,Represents the result of a BuyerVerification.verify operation. The result will be aninstance of class BuyerVerificationResult.Success if the operation is successful or class BuyerVerificationResult.Error if the operation failed.,isError(),True if the BuyerVerification.verify operation resulted in an error.,boolean
sqip.BuyerVerificationResult,Represents the result of a BuyerVerification.verify operation. The result will be aninstance of class BuyerVerificationResult.Success if the operation is successful or class BuyerVerificationResult.Error if the operation failed.,isSuccess(),True if the BuyerVerification.verify operation was successful.See BuyerVerificationResult.getSuccessValue for the result.,boolean
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,component1(),The error code.,Error.Code
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,component2(),A displayable message that summarizes the possible cause of the error.,java.lang.String
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,component3(),A more detailed error code for troubleshooting.,java.lang.String
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,component4(),A human-readable message containing additional debug,java.lang.String
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,"copy(Error.Code code,    java.lang.String message,    java.lang.String debugCode,    java.lang.String debugMessage)",Represents the result of an unsuccessful BuyerVerification.verify operation.,BuyerVerificationResult.Error
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,equals(java.lang.Object p),N/A,boolean
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,getCode(),The error code.,Error.Code
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,getDebugCode(),A more detailed error code for troubleshooting.,java.lang.String
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,getDebugMessage(),A human-readable message containing additional debug,java.lang.String
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,getMessage(),A displayable message that summarizes the possible cause of the error.,java.lang.String
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,hashCode(),N/A,int
sqip.BuyerVerificationResult.Error,Represents the result of an unsuccessful BuyerVerification.verify operation.,toString(),N/A,java.lang.String
sqip.BuyerVerificationResult.Success,Represents the result of a successful BuyerVerificationResult.verify operation. Containsa value indicating whether the user was challenged and the verification token.,component1(),true if the buyer was challenged for additional authentication factors.,boolean
sqip.BuyerVerificationResult.Success,Represents the result of a successful BuyerVerificationResult.verify operation. Containsa value indicating whether the user was challenged and the verification token.,component2(),The token representing a verified buyer.,java.lang.String
sqip.BuyerVerificationResult.Success,Represents the result of a successful BuyerVerificationResult.verify operation. Containsa value indicating whether the user was challenged and the verification token.,"copy(boolean hasChallengedUser,    java.lang.String verificationToken)",Represents the result of a successful BuyerVerificationResult.verify operation. Containsa value indicating whether the user was challenged and the verification token.,BuyerVerificationResult.Success
sqip.BuyerVerificationResult.Success,Represents the result of a successful BuyerVerificationResult.verify operation. Containsa value indicating whether the user was challenged and the verification token.,equals(java.lang.Object p),N/A,boolean
sqip.BuyerVerificationResult.Success,Represents the result of a successful BuyerVerificationResult.verify operation. Containsa value indicating whether the user was challenged and the verification token.,getHasChallengedUser(),true if the buyer was challenged for additional authentication factors.,boolean
sqip.BuyerVerificationResult.Success,Represents the result of a successful BuyerVerificationResult.verify operation. Containsa value indicating whether the user was challenged and the verification token.,getVerificationToken(),The token representing a verified buyer.,java.lang.String
sqip.BuyerVerificationResult.Success,Represents the result of a successful BuyerVerificationResult.verify operation. Containsa value indicating whether the user was challenged and the verification token.,hashCode(),N/A,int
sqip.BuyerVerificationResult.Success,Represents the result of a successful BuyerVerificationResult.verify operation. Containsa value indicating whether the user was challenged and the verification token.,toString(),N/A,java.lang.String
sqip.BuyerVerifiedDetails,Represents the result of a successful operation to verify a payment token,getHasChallengedUser(),true if the buyer was challenged for additional authentication factors.,boolean
sqip.BuyerVerifiedDetails,Represents the result of a successful operation to verify a payment token,getVerificationToken(),The token representing a verified buyer.,java.lang.String
sqip.Call,"An invocation of an SDK call that sends a request to Square servers and returns a response.Each call yields its own request and response. Use Call.clone to make multiple calls with thesame parameters to the same web server; this may be used to retry a failed call.Calls may be executed synchronously with Call.execute, or asynchronously with Call.enqueue. In eithercase the call can be canceled at any time with Call.cancel.",cancel(),"Cancels this call. An attempt will be made to cancel in-flight calls, and if the call has notyet been executed it never will be.",void
sqip.Call,"An invocation of an SDK call that sends a request to Square servers and returns a response.Each call yields its own request and response. Use Call.clone to make multiple calls with thesame parameters to the same web server; this may be used to retry a failed call.Calls may be executed synchronously with Call.execute, or asynchronously with Call.enqueue. In eithercase the call can be canceled at any time with Call.cancel.",clone(),"Creates a new, identical call to this one which can be enqueued or executed even if this callhas already been executed.",Call<T>
sqip.Call,"An invocation of an SDK call that sends a request to Square servers and returns a response.Each call yields its own request and response. Use Call.clone to make multiple calls with thesame parameters to the same web server; this may be used to retry a failed call.Calls may be executed synchronously with Call.execute, or asynchronously with Call.enqueue. In eithercase the call can be canceled at any time with Call.cancel.",enqueue(Callback<T> callback),Asynchronously sends the request and notifies callback of the result.,void
sqip.Call,"An invocation of an SDK call that sends a request to Square servers and returns a response.Each call yields its own request and response. Use Call.clone to make multiple calls with thesame parameters to the same web server; this may be used to retry a failed call.Calls may be executed synchronously with Call.execute, or asynchronously with Call.enqueue. In eithercase the call can be canceled at any time with Call.cancel.",execute(),Synchronously sends the request and returns the result.,T
sqip.Call,"An invocation of an SDK call that sends a request to Square servers and returns a response.Each call yields its own request and response. Use Call.clone to make multiple calls with thesame parameters to the same web server; this may be used to retry a failed call.Calls may be executed synchronously with Call.execute, or asynchronously with Call.enqueue. In eithercase the call can be canceled at any time with Call.cancel.",isCanceled(),True if Call.cancel was called.,boolean
sqip.Call,"An invocation of an SDK call that sends a request to Square servers and returns a response.Each call yields its own request and response. Use Call.clone to make multiple calls with thesame parameters to the same web server; this may be used to retry a failed call.Calls may be executed synchronously with Call.execute, or asynchronously with Call.enqueue. In eithercase the call can be canceled at any time with Call.cancel.",isExecuted(),True if this call has been either Call.execute or Call.enqueue.It is an error to execute or enqueue a call more than once.,boolean
sqip.Callback,Communicates the result of an asynchronous operation. Callback.onResult is invoked exactly once peroperation.,onResult(R result),N/A,void
sqip.Card,Represents a payment card.,component1(),The card brand,Card.Brand
sqip.Card,Represents a payment card.,component2(),The last 4 digits of the card number.,java.lang.String
sqip.Card,Represents a payment card.,component3(),The expiration month of the card.,int
sqip.Card,Represents a payment card.,component4(),The 4-digit expiration year of the card.,int
sqip.Card,Represents a payment card.,component5(),"The billing postal code associated with the card,",java.lang.String
sqip.Card,Represents a payment card.,component6(),The card’s type.,Card.Type
sqip.Card,Represents a payment card.,component7(),Indicates whether or not this is a prepaid card.,Card.PrepaidType
sqip.Card,Represents a payment card.,"copy(Card.Brand brand,    java.lang.String lastFourDigits,    int expirationMonth,    int expirationYear,    java.lang.String postalCode,    Card.Type type,    Card.PrepaidType prepaidType)",Represents a payment card.,Card
sqip.Card,Represents a payment card.,equals(java.lang.Object p),N/A,boolean
sqip.Card,Represents a payment card.,getBrand(),The card brand,Card.Brand
sqip.Card,Represents a payment card.,getExpirationMonth(),The expiration month of the card.,int
sqip.Card,Represents a payment card.,getExpirationYear(),The 4-digit expiration year of the card.,int
sqip.Card,Represents a payment card.,getLastFourDigits(),The last 4 digits of the card number.,java.lang.String
sqip.Card,Represents a payment card.,getPostalCode(),"The billing postal code associated with the card,",java.lang.String
sqip.Card,Represents a payment card.,getPrepaidType(),Indicates whether or not this is a prepaid card.,Card.PrepaidType
sqip.Card,Represents a payment card.,getType(),The card’s type.,Card.Type
sqip.Card,Represents a payment card.,hashCode(),N/A,int
sqip.Card,Represents a payment card.,toString(),N/A,java.lang.String
sqip.Card.Brand,"The card brand (for example, Visa).",N/A,N/A,N/A
sqip.Card.PrepaidType,N/A,N/A,N/A,N/A
sqip.Card.Type,N/A,N/A,N/A,N/A
sqip.CardDetails,Represents the result of a successful operation to process card payment information.,getCard(),The payment card.,Card
