class_name,class_description,method,method_description,data_type
twitter4j.auth.AccessToken,Representing authorized Access Token which is passed to the service provider in order to access protected resources. the token and token secret can be stored into some persistent stores such as file system or RDBMS for the further accesses.,equals(java.lang.Object o),N/A,boolean
twitter4j.auth.AccessToken,Representing authorized Access Token which is passed to the service provider in order to access protected resources. the token and token secret can be stored into some persistent stores such as file system or RDBMS for the further accesses.,getScreenName(),N/A,java.lang.String
twitter4j.auth.AccessToken,Representing authorized Access Token which is passed to the service provider in order to access protected resources. the token and token secret can be stored into some persistent stores such as file system or RDBMS for the further accesses.,getUserId(),N/A,long
twitter4j.auth.AccessToken,Representing authorized Access Token which is passed to the service provider in order to access protected resources. the token and token secret can be stored into some persistent stores such as file system or RDBMS for the further accesses.,hashCode(),N/A,int
twitter4j.auth.AccessToken,Representing authorized Access Token which is passed to the service provider in order to access protected resources. the token and token secret can be stored into some persistent stores such as file system or RDBMS for the further accesses.,toString(),N/A,java.lang.String
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,getAllowDmsFrom(),Returns if the user can accept DMs from anyone,java.lang.String
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,getLanguage(),Returns the language used to render Twitter's UII for this user.,java.lang.String
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,getScreenName(),Returns the user's screen name,java.lang.String
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,getSleepEndTime(),Returns sleep end time.,java.lang.String
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,getSleepStartTime(),Returns sleep start time.,java.lang.String
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,getTimeZone(),Returns the timezone configured for this user.,TimeZone
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,getTrendLocations(),Return the user's trend locations,Location[]
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,isAlwaysUseHttps(),Returns true if the wants to always access twitter using HTTPS.,boolean
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,isDiscoverableByEmail(),Returns true if the user is discoverable by email.,boolean
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,isGeoEnabled(),Return true if the user is enabling geo location,boolean
twitter4j.AccountSettings,Returns if the user can accept DMs from anyone,isSleepTimeEnabled(),Returns true if the user enabled sleep time.,boolean
twitter4j.AccountTotals,Returns the number of total favorites.,getFavorites(),Returns the number of total favorites.,int
twitter4j.AccountTotals,Returns the number of total favorites.,getFollowers(),Returns the number of total followers.,int
twitter4j.AccountTotals,Returns the number of total favorites.,getFriends(),Returns the number of total friends.,int
twitter4j.AccountTotals,Returns the number of total favorites.,getUpdates(),Returns the number of total updates.,int
twitter4j.auth.AsyncOAuth2Support,Obtains an OAuth 2 Bearer token.,getOAuth2TokenAsync(),Obtains an OAuth 2 Bearer token.,void
twitter4j.auth.AsyncOAuthSupport,"Returns an access token associated with this instance. If no access token is associated with this instance, this will retrieve a new access token.",getOAuthAccessTokenAsync(),"Returns an access token associated with this instance. If no access token is associated with this instance, this will retrieve a new access token.",void
twitter4j.auth.AsyncOAuthSupport,"Returns an access token associated with this instance. If no access token is associated with this instance, this will retrieve a new access token.",getOAuthAccessTokenAsync(RequestToken requestToken),Retrieves an access token associated with the supplied request token and sets userId.,void
twitter4j.auth.AsyncOAuthSupport,"Returns an access token associated with this instance. If no access token is associated with this instance, this will retrieve a new access token.","getOAuthAccessTokenAsync(RequestToken requestToken,                        java.lang.String oauthVerifier)",Retrieves an access token associated with the supplied request token and sets userId.,void
twitter4j.auth.AsyncOAuthSupport,"Returns an access token associated with this instance. If no access token is associated with this instance, this will retrieve a new access token.",getOAuthAccessTokenAsync(java.lang.String oauthVerifier),Retrieves an access token.,void
twitter4j.auth.AsyncOAuthSupport,"Returns an access token associated with this instance. If no access token is associated with this instance, this will retrieve a new access token.","getOAuthAccessTokenAsync(java.lang.String screenName,                        java.lang.String password)","Retrieves an access token associated with the supplied screen name and password using xAuth. In order to get access acquire AccessToken using xAuth, you must apply by sending an email to api@twitter.com — all other applications will receive an HTTP 401 error.",void
twitter4j.auth.AsyncOAuthSupport,"Returns an access token associated with this instance. If no access token is associated with this instance, this will retrieve a new access token.",getOAuthRequestTokenAsync(),Retrieves a request token,void
twitter4j.auth.AsyncOAuthSupport,"Returns an access token associated with this instance. If no access token is associated with this instance, this will retrieve a new access token.",getOAuthRequestTokenAsync(java.lang.String callbackURL),Retrieves a request token,void
twitter4j.auth.AsyncOAuthSupport,"Returns an access token associated with this instance. If no access token is associated with this instance, this will retrieve a new access token.","getOAuthRequestTokenAsync(java.lang.String callbackURL,                         java.lang.String xAuthAccessType)",Retrieves a request token,void
twitter4j.auth.AsyncOAuthSupport,"Returns an access token associated with this instance. If no access token is associated with this instance, this will retrieve a new access token.","getOAuthRequestTokenAsync(java.lang.String callbackURL,                         java.lang.String xAuthAccessType,                         java.lang.String xAuthMode)",Retrieves a request token,void
twitter4j.AsyncTwitter,Adds twitter listener,addListener(TwitterListener listener),Adds twitter listener,void
twitter4j.AsyncTwitter,Adds twitter listener,shutdown(),Shuts down internal dispatcher thread shared across all AsyncTwitter instances.,void
twitter4j.AsyncTwitterFactory,A factory class for AsyncTwitter. An instance of this class is completely thread safe and can be re-used and used concurrently. Note that currently AsyncTwitter is NOT compatible with Google App Engine as it is maintaining threads internally.,getInstance(),Returns an instance associated with the configuration bound to this factory.,AsyncTwitter
twitter4j.AsyncTwitterFactory,A factory class for AsyncTwitter. An instance of this class is completely thread safe and can be re-used and used concurrently. Note that currently AsyncTwitter is NOT compatible with Google App Engine as it is maintaining threads internally.,getInstance(AccessToken accessToken),"Returns a OAuth Authenticated instance. consumer key and consumer Secret must be provided by twitter4j.properties, or system properties. Unlike OAuthSupport.setOAuthAccessToken(twitter4j.auth.AccessToken), this factory method potentially returns a cached instance.",AsyncTwitter
twitter4j.AsyncTwitterFactory,A factory class for AsyncTwitter. An instance of this class is completely thread safe and can be re-used and used concurrently. Note that currently AsyncTwitter is NOT compatible with Google App Engine as it is maintaining threads internally.,getInstance(Authorization auth),N/A,AsyncTwitter
twitter4j.AsyncTwitterFactory,A factory class for AsyncTwitter. An instance of this class is completely thread safe and can be re-used and used concurrently. Note that currently AsyncTwitter is NOT compatible with Google App Engine as it is maintaining threads internally.,getInstance(Twitter twitter),a kind of copy factory method constructs an AsyncTwitter from Twitter instance,AsyncTwitter
twitter4j.AsyncTwitterFactory,A factory class for AsyncTwitter. An instance of this class is completely thread safe and can be re-used and used concurrently. Note that currently AsyncTwitter is NOT compatible with Google App Engine as it is maintaining threads internally.,getSingleton(),Returns default singleton AsyncTwitter instance.,static AsyncTwitter
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.",addListener(TwitterListener listener),Adds twitter listener,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.",createBlock(long userId),Blocks the user specified in the ID parameter as the authenticating user.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.",createBlock(java.lang.String screenName),Blocks the user specified in the ID parameter as the authenticating user.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.",createFavorite(long id),Favorites the status specified in the ID parameter as the authenticating user.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.",createFriendship(long userId),Allows the authenticating users to follow the user specified in the ID parameter. Returns the befriended user in the requested format when successful.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.","createFriendship(long userId,                boolean follow)",Allows the authenticating users to follow the user specified in the ID parameter. Returns the befriended user in the requested format when successful.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.",createFriendship(java.lang.String screenName),Allows the authenticating users to follow the user specified in the ID parameter. Returns the befriended user in the requested format when successful.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.","createFriendship(java.lang.String screenName,                boolean follow)",Allows the authenticating users to follow the user specified in the ID parameter. Returns the befriended user in the requested format when successful.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.",createMute(long userId),Mutes the user specified in the ID parameter as the authenticating user.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.",createMute(java.lang.String screenName),Mutes the user specified in the screen name parameter as the authenticating user.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.",createSavedSearch(java.lang.String query),Creates a saved search for the authenticated user.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.","createUserList(java.lang.String listName,              boolean isPublicList,              java.lang.String description)",Creates a new list for the authenticated user.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.","createUserListMember(long listId,                    long userId)",Adds a member to a list.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.","createUserListMember(long ownerId,                    java.lang.String slug,                    long userId)",Adds a member to a list.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.","createUserListMembers(long listId,                     long... userIds)","Adds multiple members to a list, by specifying a comma-separated list of member ids or screen names.",void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.","createUserListMembers(long listId,                     java.lang.String... screenNames)","Adds multiple members to a list, by specifying a comma-separated list of member ids or screen names.",void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.","createUserListMembers(long ownerId,                     java.lang.String slug,                     long... userIds)","Adds multiple members to a list, by specifying a comma-separated list of member ids or screen names.",void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.","createUserListMembers(long ownerId,                     java.lang.String slug,                     java.lang.String... screenNames)","Adds multiple members to a list, by specifying a comma-separated list of member ids or screen names.",void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.",createUserListSubscription(long listId),Make the authenticated user follow the specified list.,void
twitter4j.AsyncTwitterImpl,"Twitter API with a series of asynchronous APIs. With this class, you can call TwitterAPI asynchronously. Note that currently this class is NOT compatible with Google App Engine as it is maintaining threads internally. Currently this class is not carefully designed to be extended. It is suggested to extend this class only for mock testing purporse.","createUserListSubscription(long ownerId,                          java.lang.String slug)",Make the authenticated user follow the specified list.,void
