class_name,class_description,method,method_description,data_type
com.twitter.sdk.android.core.services.AccountService,Returns an HTTP 200 OK response code and a representation of the requesting user if authentication was successful; returns a 401 status code and an error message if not.,"verifyCredentials(Boolean includeEntities,                 Boolean skipStatus,                 Boolean includeEmail)",Returns an HTTP 200 OK response code and a representation of the requesting user if authentication was successful; returns a 401 status code and an error message if not.,<any>
com.twitter.sdk.android.core.internal.ActivityLifecycleManager,This is a convenience class that wraps the ActivityLifecycleCallbacks registration. It provides an abstract Callbacks class that reduces required boilerplate code in your callbacks as well as OS Version checks that make it compatible with Android versions less than Ice Cream Sandwich.,registerCallbacks(ActivityLifecycleManager.Callbacks callbacks),N/A,boolean
com.twitter.sdk.android.core.internal.ActivityLifecycleManager,This is a convenience class that wraps the ActivityLifecycleCallbacks registration. It provides an abstract Callbacks class that reduces required boilerplate code in your callbacks as well as OS Version checks that make it compatible with Android versions less than Ice Cream Sandwich.,resetCallbacks(),Unregisters all previously registered callbacks on the application context.,void
com.twitter.sdk.android.core.internal.ActivityLifecycleManager.Callbacks,Override the methods corresponding to the activity.,"onActivityCreated(Activity activity,                 Bundle bundle)",N/A,void
com.twitter.sdk.android.core.internal.ActivityLifecycleManager.Callbacks,Override the methods corresponding to the activity.,onActivityDestroyed(Activity activity),N/A,void
com.twitter.sdk.android.core.internal.ActivityLifecycleManager.Callbacks,Override the methods corresponding to the activity.,onActivityPaused(Activity activity),N/A,void
com.twitter.sdk.android.core.internal.ActivityLifecycleManager.Callbacks,Override the methods corresponding to the activity.,onActivityResumed(Activity activity),N/A,void
com.twitter.sdk.android.core.internal.ActivityLifecycleManager.Callbacks,Override the methods corresponding to the activity.,"onActivitySaveInstanceState(Activity activity,                           Bundle bundle)",N/A,void
com.twitter.sdk.android.core.internal.ActivityLifecycleManager.Callbacks,Override the methods corresponding to the activity.,onActivityStarted(Activity activity),N/A,void
com.twitter.sdk.android.core.internal.ActivityLifecycleManager.Callbacks,Override the methods corresponding to the activity.,onActivityStopped(Activity activity),N/A,void
com.twitter.sdk.android.core.models.ApiError,"Represents error returned from the Twitter API. For complete list of error codes, see https://dev.twitter.com/overview/api/response-codes",N/A,N/A,N/A
com.twitter.sdk.android.core.models.ApiErrors,N/A,N/A,N/A,N/A
com.twitter.sdk.android.core.identity.AuthHandler,Abstract class for handling authorization requests.,authorize(Activity activity),Called to request authorization.,abstract boolean
com.twitter.sdk.android.core.identity.AuthHandler,Abstract class for handling authorization requests.,"handleOnActivityResult(int requestCode,                      int resultCode,                      Intent data)","Called when Activity.onActivityResult(int, int, android.content.Intent) is called to complete the authorization flow.",boolean
com.twitter.sdk.android.core.AuthToken,Base class for authentication tokens.,isExpired(),Determines whether a token is known to have expired.,abstract boolean
com.twitter.sdk.android.core.AuthTokenAdapter,Provides custom serialization and deserialization for classes that hold any type of AuthToken.,"deserialize(JsonElement json,           Type typeOfT,           JsonDeserializationContext context)",N/A,AuthToken
com.twitter.sdk.android.core.AuthTokenAdapter,Provides custom serialization and deserialization for classes that hold any type of AuthToken.,"serialize(AuthToken src,         Type typeOfSrc,         JsonSerializationContext context)",N/A,JsonElement
