class_name,class_description,method,method_description,return_type
account,N/A - VK has no Class Descriptions,ban,N/A,N/A
account,N/A - VK has no Class Descriptions,changepassword,Changes a user password after access is successfully restored with the auth.restore method.,Returns an object with the token field containing a new token. 
account,N/A - VK has no Class Descriptions,getactiveoffers,"Returns a list of active ads (offers). If the user fulfill their conditions, he will be able to get the appropriate number of votes to his balance.","Returns an array that contains the total number of current user-targeted special offers (first element) and the list of objects containing information about offers. 
In case no special offer is targeted to the user, the array will include 0 element (number of special offers). 
"
account,N/A - VK has no Class Descriptions,getapppermissions,Gets settings of the user in this application.,"Returns a bit mask of the user's settings in this application. 

Example If you need to get permissions for Access to friends and Access to user statuses, your bit mask will be: 2 + 1024 = 1026. 
If with a bit mask of 1026 you need to check whether it has access to friends, you can run 1026 & 2. For example, alert(1026 & 2);  
see List of available settings of access permissions 
"
account,N/A - VK has no Class Descriptions,getbanned,Returns a user's blacklist.,"Returns the total results number in count field and an array of objects describing users in items field. Each object contains base fields  only. 
"
account,N/A - VK has no Class Descriptions,getcounters,Returns non-null values of user counters.,"Returns an object that may include friends, messages, photos, videos, notes, gifts, events, groups, sdk fields (integer) with a counter value. "
account,N/A - VK has no Class Descriptions,getinfo,Returns current account info.,"Retuns an object with the following fields: 
country 
stringstring code of a country identified by ip-address of the current request. https_required 
integer, [0,1]1 if user set the ""Always use secure connection"" setting; 0 – secure connection is not required. 2fa_required 
integer, [0,1]1 if user set the ""2-step verification"" setting. own_posts_default 
integer, [0,1]1 if user set the ""Show only my posts by default"" setting. no_wall_replies 
integer, [0,1]1 if user set the ""Disable wall comments"" setting. intro 
integer, [0,1]bit mask  responsible for passing the application usage tutorial. lang 
integernumeric identifier of user's current language.  "
account,N/A - VK has no Class Descriptions,getprofileinfo,Returns the current account info.,"Method returns an object containing following fields: 
first_name
string User first name. last_name
string User last name. maiden_name
stringUser maiden name (female users only). screen_name
stringScreen name (if any). sex
integerSex. Possible values: 

1 — female; 
2 — male; 
0 — not specified. relation
integerRelationship status. Possible values: 

1 — single; 
2 — in a relationship; 
3 — engaged; 
4 — married; 
5 — it's complicated; 
6 — actively searching; 
7 — in love; 
8 — in a civil union; 
0 — not specified. relation_partner
objectAn user object, relationship partner (if specified). relation_pending 
integerReturns 1 if specified partner did not approve a relationship status. relation_requests
arrayList of user objects who specified a relationship with a current user (if exist). bdate
stringUser birth date, format: DD.MM.YYYY. bdate_visibility
integerBirth date visibility. Possible values: 

1 — show birth date; 
2 — show only month and day; 
0 — hide birth date. home_town 
stringHome town title. country
objectCountry. Object with fields: 

id (integer) — country ID; 
title (string) — country title. city 
objectCity. Object with fields: 

id (integer) — city ID; 
title (string) — city title. name_request 
objectLast name change request info (if any). Object with fields: 

id (integer) — request id, required to cancel it (only if status = processing); 
status (string) — request status. Possible values: 

processing — request is processing; 
declined — request was declined; 

first_name (string) — first name from the request; 
last_name (string) — last name from the request. status 
stringProfile status. phone 
stringPhone number.  "
account,N/A - VK has no Class Descriptions,getpushsettings,Gets settings of push notifications.,"Returns an object with following fields: 

disabled — 1 if notifications are disabled. 
disabled_until — unixtime time value, notifications are temporarily disabled until. 
conversations — list with settings of specific conversations and their number as the first element. 
settings — push settings in a special format. 

"
account,N/A - VK has no Class Descriptions,registerdevice,Subscribes an iOS/Android/Windows/Mac based device to receive push notifications,"In case of success returns 1. 
In iOS and Windows Phone push notifications will be shown unprocessed. 
In Android events will be received in the following format. 
"
account,N/A - VK has no Class Descriptions,saveprofileinfo,Edits current profile info.,"Returns an object containing following fields: 

changed (integer, [0,1]) — returns 1 if the information is saved, 0 if no fields were saved. 
If there were user's first or last name in the parameters, there will be a name_request field — an object containing following fields: 

id (integer) — request id, required to cancel it (only if status = processing). To cancel a request, you must call the account.saveProfileInfo method with the cancel_request_id parameter; 
status (string) — request status. Returned values: 

success  — the request is successfully accepted; 
processing  — the request is processing; 
declined — the request was declined; 
was_accepted — there was a successful request recently, new request can't be sent before the date from the repeat_date field; 
was_declined  — there was an unsuccessful request recently, new request can't be sent before the date from the repeat_date field; 

first name (string) —  first name from the request; 
last_name (string) — last name from the request. 
"
account,N/A - VK has no Class Descriptions,setinfo,Allows to edit the current account info.,In case of success returns 1. 
account,N/A - VK has no Class Descriptions,setnameinmenu,"Sets an application screen name (up to 17 characters), that is shown to the user in the left menu.","Returns 1 if a screen name is successfully set. 
If user did not add the application into the left menu, the method would throw an error 148 (Access to the menu of the user denied). This error can be avoided with account.getAppPermissions method. 
"
account,N/A - VK has no Class Descriptions,setoffline,Marks a current user as offline.,In case of success returns 1. 
