class_name,class_description,method,method_description,data_type
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",getAdSize(),Returns AdSize,AdConfig.AdSize
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",getFlexViewCloseTime(),Gets how long a flexview ad is visible for before it closes automatically.,int
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",getOrdinal(),N/A,int
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",getSettings(),N/A,int
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",setAdSize(AdConfig.AdSize adSize),"Sets the AdSize, currently only supported for FlexFeed and MREC ad units should be called immediately before getNativeAd",void
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",setAutoRotate(boolean autoRotate),Sets the orientation of the video ad.,void
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",setBackButtonImmediatelyEnabled(boolean isBackButtonImmediatelyEnabled),"Sets whether the Android back button will be immediately enabled during the video ad, or it will be inactive until the on screen close button appears (the default).",void
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.","setExtraSettings(java.util.Map<java.lang.String,java.lang.Object> extras)",Sets additional flags for ad.,void
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",setFlexViewCloseTime(int seconds),Sets how long a flexview ad is visible for before it closes automatically.,void
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",setImmersiveMode(boolean isImmersiveMode),Sets whether immersive mode will be enabled for KitKat (API level 19) and later devices.,void
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",setMuted(boolean isMuted),Sets whether the video should start with its sound matching the settings of your enclosing application (the default or muted.,void
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",setOrdinal(int ordinal),"Inlcuding this advertisement, the number of advertisements that have been played this session.",void
com.vungle.warren.AdConfig,"Settings and Configuration Class for playAd Requests. To prevent any issues, generate a new AdConfig object per playAd() request.",setTransitionAnimationEnabled(boolean isTransitionAnimationEnabled),Sets whether the video transition animation should be enabled or disabled.,void
com.vungle.warren.AdConfig.AdSize,N/A,valueOf(java.lang.String name),Returns the enum constant of this type with the specified name.,static AdConfig.AdSize
com.vungle.warren.AdConfig.AdSize,N/A,values(),"Returns an array containing the constants of this enum type, inthe order they are declared.",static AdConfig.AdSize[]
com.vungle.warren.AdConfig.Settings,N/A,N/A,N/A,N/A
com.vungle.warren.InitCallback,"Callback handler for Initialization tasks. When the Vungle SDK has successfully initialized and is ready to load and play advertisements, the onSuccess() method will be called. If any errors occur during initialization that prevent the SDK from functioning, the onError(Throwable) method will be called with a Throwable that explains the error. In all cases where initialization fails, the SDK will not be operable until Vungle.init(Collection, String, Context, InitCallback) is called again.",onAutoCacheAdAvailable(java.lang.String placementId),Vungle's SDK will automatically try to cache Ad for only one Placement that is configured on our web dashboard as Auto-cached.,void
com.vungle.warren.InitCallback,"Callback handler for Initialization tasks. When the Vungle SDK has successfully initialized and is ready to load and play advertisements, the onSuccess() method will be called. If any errors occur during initialization that prevent the SDK from functioning, the onError(Throwable) method will be called with a Throwable that explains the error. In all cases where initialization fails, the SDK will not be operable until Vungle.init(Collection, String, Context, InitCallback) is called again.",onError(java.lang.Throwable throwable),The failure callback for SDK initialization.,void
