class_name,class_description,method,method_description,data_type
zendesk.core.ActionDescription,N/A,getIcon(),N/A,N/A
zendesk.core.ActionDescription,N/A,getLocalizedAccessibilityLabel(),N/A,N/A
zendesk.core.ActionDescription,N/A,getLocalizedLabel(),N/A,N/A
zendesk.core.ActionHandler,"Defines a handler for an inter-SDK action, such as one SDK starting another one, without either
 SDK having a dependency on the other. An example of this would be a hypothetical Help Center
 SDK starting the ""create ticket"" screen of the Support SDK.
 
 In order to properly separate SDKs from each other, handlers will work on ""action Strings"".
 Similar to Android's Intent system, multiple SDKs can be capable of handling the same action
 String. For example, a ""contact us"" action can be handled by Support, Chat, Voice, Message, etc.
 In the event that more than one ActionHandler has been registered for the same actionString,
 the getPriority() method can be used to determine which one to call handle on.",canHandle(java.lang.String actionName),Determines whether or not the ActionHandler object can handle the given action String.,boolean
zendesk.core.ActionHandler,"Defines a handler for an inter-SDK action, such as one SDK starting another one, without either
 SDK having a dependency on the other. An example of this would be a hypothetical Help Center
 SDK starting the ""create ticket"" screen of the Support SDK.
 
 In order to properly separate SDKs from each other, handlers will work on ""action Strings"".
 Similar to Android's Intent system, multiple SDKs can be capable of handling the same action
 String. For example, a ""contact us"" action can be handled by Support, Chat, Voice, Message, etc.
 In the event that more than one ActionHandler has been registered for the same actionString,
 the getPriority() method can be used to determine which one to call handle on.",getActionDescription(),N/A,N/A
zendesk.core.ActionHandler,"Defines a handler for an inter-SDK action, such as one SDK starting another one, without either
 SDK having a dependency on the other. An example of this would be a hypothetical Help Center
 SDK starting the ""create ticket"" screen of the Support SDK.
 
 In order to properly separate SDKs from each other, handlers will work on ""action Strings"".
 Similar to Android's Intent system, multiple SDKs can be capable of handling the same action
 String. For example, a ""contact us"" action can be handled by Support, Chat, Voice, Message, etc.
 In the event that more than one ActionHandler has been registered for the same actionString,
 the getPriority() method can be used to determine which one to call handle on.",getPriority(),Returns the priority of the ActionHandler.,int
zendesk.core.ActionHandler,"Defines a handler for an inter-SDK action, such as one SDK starting another one, without either
 SDK having a dependency on the other. An example of this would be a hypothetical Help Center
 SDK starting the ""create ticket"" screen of the Support SDK.
 
 In order to properly separate SDKs from each other, handlers will work on ""action Strings"".
 Similar to Android's Intent system, multiple SDKs can be capable of handling the same action
 String. For example, a ""contact us"" action can be handled by Support, Chat, Voice, Message, etc.
 In the event that more than one ActionHandler has been registered for the same actionString,
 the getPriority() method can be used to determine which one to call handle on.","handle(java.util.Map<java.lang.String,java.lang.Object> data,
      Context context)",Invokes an action on the given action String.,void
zendesk.core.ActionHandler,"Defines a handler for an inter-SDK action, such as one SDK starting another one, without either
 SDK having a dependency on the other. An example of this would be a hypothetical Help Center
 SDK starting the ""create ticket"" screen of the Support SDK.
 
 In order to properly separate SDKs from each other, handlers will work on ""action Strings"".
 Similar to Android's Intent system, multiple SDKs can be capable of handling the same action
 String. For example, a ""contact us"" action can be handled by Support, Chat, Voice, Message, etc.
 In the event that more than one ActionHandler has been registered for the same actionString,
 the getPriority() method can be used to determine which one to call handle on.","updateSettings(java.util.Map<java.lang.String,JsonElement> settings)",Notifies the ActionHandler of an update to settings.,void
zendesk.core.ActionHandlerRegistry,"Defines an interface for a registry of ActionHandler objects to be used for inter-SDK
 actions, such as starting an android.app.Activity from one SDK, in another SDK, without
 any dependency between them.
 
 ActionHandler objects can be added and removed from the registry using
 ActionHandlerRegistry.add(ActionHandler) and
 ActionHandlerRegistry.remove(ActionHandler), respectively. A query method,
 ActionHandlerRegistry.handlerByAction(String), returns the highest priority
 ActionHandler whose ActionHandler.canHandle(String) returned true.",add(ActionHandler actionHandler),Adds an ActionHandler to the registry.,void
zendesk.core.ActionHandlerRegistry,"Defines an interface for a registry of ActionHandler objects to be used for inter-SDK
 actions, such as starting an android.app.Activity from one SDK, in another SDK, without
 any dependency between them.
 
 ActionHandler objects can be added and removed from the registry using
 ActionHandlerRegistry.add(ActionHandler) and
 ActionHandlerRegistry.remove(ActionHandler), respectively. A query method,
 ActionHandlerRegistry.handlerByAction(String), returns the highest priority
 ActionHandler whose ActionHandler.canHandle(String) returned true.",clear(),Removes all ActionHandlers from the registry.,void
zendesk.core.ActionHandlerRegistry,"Defines an interface for a registry of ActionHandler objects to be used for inter-SDK
 actions, such as starting an android.app.Activity from one SDK, in another SDK, without
 any dependency between them.
 
 ActionHandler objects can be added and removed from the registry using
 ActionHandlerRegistry.add(ActionHandler) and
 ActionHandlerRegistry.remove(ActionHandler), respectively. A query method,
 ActionHandlerRegistry.handlerByAction(String), returns the highest priority
 ActionHandler whose ActionHandler.canHandle(String) returned true.",handlerByAction(java.lang.String actionName),"Finds and returns the highest priority ActionHandler whose
 ActionHandler.canHandle(String) method returned true for the given action String, or
 null if no ActionHandlers returned true.",ActionHandler
zendesk.core.ActionHandlerRegistry,"Defines an interface for a registry of ActionHandler objects to be used for inter-SDK
 actions, such as starting an android.app.Activity from one SDK, in another SDK, without
 any dependency between them.
 
 ActionHandler objects can be added and removed from the registry using
 ActionHandlerRegistry.add(ActionHandler) and
 ActionHandlerRegistry.remove(ActionHandler), respectively. A query method,
 ActionHandlerRegistry.handlerByAction(String), returns the highest priority
 ActionHandler whose ActionHandler.canHandle(String) returned true.",handlersByAction(java.lang.String actionName),"Finds and returns a priority ordered list of ActionHandler whose
 ActionHandler.canHandle(String) method returned true for the given action String,
 or an empty list if no ActionHandlers returned true.",java.util.List<ActionHandler>
zendesk.core.ActionHandlerRegistry,"Defines an interface for a registry of ActionHandler objects to be used for inter-SDK
 actions, such as starting an android.app.Activity from one SDK, in another SDK, without
 any dependency between them.
 
 ActionHandler objects can be added and removed from the registry using
 ActionHandlerRegistry.add(ActionHandler) and
 ActionHandlerRegistry.remove(ActionHandler), respectively. A query method,
 ActionHandlerRegistry.handlerByAction(String), returns the highest priority
 ActionHandler whose ActionHandler.canHandle(String) returned true.",remove(ActionHandler actionHandler),Removes an ActionHandler from the registry.,void
