class_name,class_description,method,method_description,data_type
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,getAccountEmail(),Get the account email of the current logged-in user.,java.lang.String
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,getAccountName(),Get the username of the current logged-in user.,java.lang.String
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,getAvailableDialInCountry(),"Get all codes of country which allows to call in, see MobileRTCDialinCountry.",MobileRTCDialinCountry
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,getCanScheduleForUsersList(),Get the information of users who have assigned the current logged-in user to schedule a meeting.,java.util.List<Alternativehost>
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,getDefaultAudioOption(),Get the default AUDIO TYPE of current logged-in user while scheduling a meeting.,MeetingItem.AudioType
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,getDefaultAutoRecordType(),Get default meeting auto-recording type from user web profile.,MeetingItem.AutoRecordType
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,getDefaultCanJoinUserSpecifiedDomains(),Get the specified domains set on user profile.,java.util.List<java.lang.String>
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,getDefaultThirdPartyAudioInfo(),Get the current user's own 3rd PARTY AUDIO information while scheduling a meeting.,java.lang.String
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,isCloudRecordingSupported(),Query if the CLOUD RECORDING is enabled while scheduling a meeting.,boolean
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,isEnableJoinBeforeHostByDefault(),Query if it is enabled to JOIN BEFORE HOST(JBH) by default while scheduling a meeting.,boolean
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,isHostMeetingInChinaFeatureOn(),Query if HOST MEETING IN CHINA is enabled while scheduling a meeting.,boolean
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,isLocalRecordingSupported(),Query if the LOCAL RECORDING is enabled while scheduling a meeting.,boolean
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,isSignedInUserMeetingOn(),Query if ONLY SIGNED-IN USERS CAN JOIN MEETINGS is enabled while scheduling a meeting.,boolean
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,isSpecifiedDomainsCanJoinFeatureOn(),Query if users in specified domains can join meeting while scheduling a meeting.,boolean
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,isTelephonySupported(),Query if the TELEPHONY of current user is enabled while scheduling a meeting.,boolean
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,isThirdPartyAudioSupported(),Query if the 3rd PARTY AUDIO of current user is enabled while scheduling a meeting.,boolean
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,isTurnOnAttendeeVideoByDefault(),Query if the PARTICIPANT'S VIDEO is turned on by default while scheduling a meeting.,boolean
uz.zoom.sdk.AccountService,Account Information Service for current logged-in User.,isTurnOnHostVideoByDefault(),Query if the HOST'S VIDEO is turned on by default while scheduling a meeting.,boolean
uz.zoom.sdk.Alternativehost,Alternative host user information.,getEmail(),Get email box of alternative host.,java.lang.String
uz.zoom.sdk.Alternativehost,Alternative host user information.,getFirstName(),Get first name of alternative host.,java.lang.String
uz.zoom.sdk.Alternativehost,Alternative host user information.,getLastName(),Get last name of alternative host.,java.lang.String
uz.zoom.sdk.Alternativehost,Alternative host user information.,getPicUrl(),Get the avatar link of alternative host.,java.lang.String
uz.zoom.sdk.Alternativehost,Alternative host user information.,getPmi(),Get the personal meeting number of alternative host.,long
uz.zoom.sdk.Alternativehost,Alternative host user information.,setEmail(java.lang.String email),Set email box of alternative host.,void
uz.zoom.sdk.Alternativehost,Alternative host user information.,setFirstName(java.lang.String firstName),Set the first name of alternative host.,void
uz.zoom.sdk.Alternativehost,Alternative host user information.,setLastName(java.lang.String lastName),Set the last name of alternative host.,void
uz.zoom.sdk.Alternativehost,Alternative host user information.,setPicUrl(java.lang.String picUrl),Set the avatar link of alternative host.,void
uz.zoom.sdk.Alternativehost,Alternative host user information.,setPmi(long pmi),Set the personal meeting number of alternative host.,void
uz.zoom.sdk.AnswerItem,N/A,getQuestionID(),Get question id,java.lang.String
uz.zoom.sdk.AnswerItem,N/A,getSenderName(),Get the answer sender user name,java.lang.String
uz.zoom.sdk.AnswerItem,N/A,getState(),Get answer status,int
uz.zoom.sdk.AnswerItem,N/A,getText(),Get answer content,java.lang.String
