class_name,class_description,method,method_description,data_type
com.applovin.sdk.AppLovinAd,This interface represents an ad that has been served by the AppLovin server and should be displayed to the user.,getAdIdNumber(),Represents a unique ID for the current ad.,long
com.applovin.sdk.AppLovinAd,This interface represents an ad that has been served by the AppLovin server and should be displayed to the user.,getAdValue(java.lang.String key),Get an arbitrary ad value for a given key.,java.lang.String
com.applovin.sdk.AppLovinAd,This interface represents an ad that has been served by the AppLovin server and should be displayed to the user.,getSize(),Get size of the ad to display.,AppLovinAdSize
com.applovin.sdk.AppLovinAd,This interface represents an ad that has been served by the AppLovin server and should be displayed to the user.,getType(),Get the ad type of the current ad.,AppLovinAdType
com.applovin.sdk.AppLovinAd,This interface represents an ad that has been served by the AppLovin server and should be displayed to the user.,getZoneId(),"The zone identifier for the ad, if any.",java.lang.String
com.applovin.sdk.AppLovinAd,This interface represents an ad that has been served by the AppLovin server and should be displayed to the user.,isVideoAd(),Check whether this is a video ad.,boolean
com.applovin.sdk.AppLovinAdClickListener,"This interface defines a listener intended to be notified when a user clicks on an ad.
 
 Since all AppLovin ads launch the device browser on click, this effectively notifies you that your app is about to be minimized to the background.",adClicked(AppLovinAd ad),This method is invoked when the ad is clicked.,void
com.applovin.sdk.AppLovinAdDisplayListener,This interface defines a listener intended to be notified when an ad is shown or hidden to the user.,adDisplayed(AppLovinAd ad),This method is invoked when an ad is displayed inside of the AppLovinAdView or AppLovinInterstitialAdDialog.,void
com.applovin.sdk.AppLovinAdDisplayListener,This interface defines a listener intended to be notified when an ad is shown or hidden to the user.,adHidden(AppLovinAd ad),This method is invoked when an ad is displayed inside of the AppLovinAdView or AppLovinInterstitialAdDialog.,void
com.applovin.sdk.AppLovinAdLoadListener,"This interface defines a listener intended to be notified when the SDK loads, or fails to load, an ad over the network.",adReceived(AppLovinAd ad),This method is called when a new ad has been received.,void
com.applovin.sdk.AppLovinAdLoadListener,"This interface defines a listener intended to be notified when the SDK loads, or fails to load, an ad over the network.",failedToReceiveAd(int errorCode),This method is called when an ad could not be retrieved from the server.,void
com.applovin.sdk.AppLovinAdRewardListener,"This interface defines a listener intended to be notified when a user watches a rewarded video, and the SDK has received a response from the AppLovin server either validating or rejecting their virtual currency reward.",userDeclinedToViewAd(AppLovinAd ad),"This method will be invoked if the user selected ""no"" when asked if they want to view an ad.",void
com.applovin.sdk.AppLovinAdRewardListener,"This interface defines a listener intended to be notified when a user watches a rewarded video, and the SDK has received a response from the AppLovin server either validating or rejecting their virtual currency reward.","userOverQuota(AppLovinAd ad,
             java.util.Map<java.lang.String,java.lang.String> response)",This method will be invoked if the user has already received the maximum allocated rewards for the day.,void
com.applovin.sdk.AppLovinAdRewardListener,"This interface defines a listener intended to be notified when a user watches a rewarded video, and the SDK has received a response from the AppLovin server either validating or rejecting their virtual currency reward.","userRewardRejected(AppLovinAd ad,
                  java.util.Map<java.lang.String,java.lang.String> response)",This method will be invoked if the user's reward was detected as fraudulent and not awarded.,void
com.applovin.sdk.AppLovinAdRewardListener,"This interface defines a listener intended to be notified when a user watches a rewarded video, and the SDK has received a response from the AppLovin server either validating or rejecting their virtual currency reward.","userRewardVerified(AppLovinAd ad,
                  java.util.Map<java.lang.String,java.lang.String> response)","If you are using reward validation for incentivized videos, this method will be invoked if we contacted AppLovin successfully.",void
com.applovin.sdk.AppLovinAdRewardListener,"This interface defines a listener intended to be notified when a user watches a rewarded video, and the SDK has received a response from the AppLovin server either validating or rejecting their virtual currency reward.","validationRequestFailed(AppLovinAd ad,
                       int errorCode)","This method will be invoked if we were unable to contact AppLovin, therefore no ping will be heading to your server.",void
com.applovin.sdk.AppLovinAdService,"This class is responsible for loading and displaying advertisements.
 
 An instance of this class can be obtained from an AppLovinSdk instance via getAdService().",addAdUpdateListener(AppLovinAdUpdateListener adListener),"Deprecated. 
Listening to ad updates has been deprecated. The AppLovinAdView class for banners, leaderboards, and mrecs no longer automatically refresh contents by itself.
 You must explicitly call AppLovinAdView.loadNextAd() or AppLovinAdView.renderAd(AppLovinAd). This method will be removed in a future SDK version.
",void
com.applovin.sdk.AppLovinAdService,"This class is responsible for loading and displaying advertisements.
 
 An instance of this class can be obtained from an AppLovinSdk instance via getAdService().","addAdUpdateListener(AppLovinAdUpdateListener adListener,
                   AppLovinAdSize adSize)","Deprecated. 
Listening to ad updates has been deprecated. The AppLovinAdView class for banners, leaderboards, and mrecs no longer automatically refresh contents by itself.
 You must explicitly call AppLovinAdView.loadNextAd() or AppLovinAdView.renderAd(AppLovinAd). This method will be removed in a future SDK version.
",void
com.applovin.sdk.AppLovinAdService,"This class is responsible for loading and displaying advertisements.
 
 An instance of this class can be obtained from an AppLovinSdk instance via getAdService().",getBidToken(),Generates a token used for advanced header bidding.,java.lang.String
com.applovin.sdk.AppLovinAdService,"This class is responsible for loading and displaying advertisements.
 
 An instance of this class can be obtained from an AppLovinSdk instance via getAdService().",hasPreloadedAd(AppLovinAdSize adSize),"Deprecated. 
Manually preloading ads in the background has been deprecated and will be removed in a future SDK version. Please use loadNextAd(AppLovinAdSize, AppLovinAdLoadListener) to load ads to display.
",boolean
com.applovin.sdk.AppLovinAdService,"This class is responsible for loading and displaying advertisements.
 
 An instance of this class can be obtained from an AppLovinSdk instance via getAdService().",hasPreloadedAdForZoneId(java.lang.String zoneId),"Deprecated. 
Manually preloading ads in the background has been deprecated and will be removed in a future SDK version. Please use loadNextAdForZoneId(String, AppLovinAdLoadListener) to load ads to display.
",boolean
