class_name,class_description,method,method_description,data_type
,,public String getAppsFlyerUID(Context context);,Get AppsFlyer ID,
com.appsflyer,,"public void onAppOpenAttribution(Map&lt;String, String&gt; conversionData)",Get deep link data when the app opens via a deep link.,
,,public void onAttributionFailure(String errorMessage),Handle errors in getting deep link data.,
,,"public void onConversionDataSuccess(Map<String, String> conversionData)",Get conversion data after an install. Useful for deferred deep linking.,
,,public void onConversionDataFail(String errorMessage),Handle errors when failing to get conversion data from installs.,
,,public void onTrackingRequestFailure(String error);,Callback method for AppsFlyerTrackingRequestListener. Called when the SDK fails to report app launch.,
,,public void onTrackingRequestSuccess();,Callback method for AppsFlyerTrackingRequestListener. Called when the SDK successfully reports app launch.,
,,"public void performOnAppAttribution(Context context, Uri uri);",Get deep link attribution data at any time.,
,,public void reportTrackSession(Context context);,Report sessions if your app is a utility app that runs in the background.,
,,public void sendDeepLinkData(Activity activity);,This method is used in any activity that is deep-linked into.,
,,public void sendPushNotificationData(Activity activity);,"Measure and get data from push notifications campaigns. For more information, see measuring push notifications.",
,,"public void setAdditionalData(HashMap&lt;String, Object&gt; customData);",Adding additional data to be sent to external partner platforms.,
,,public void setAndroidIdData(String aAndroidID);,"Send Android ID to AppsFlyer. See OAID, IMEI and Android ID.",
,,public void setAppInviteOneLink(String oneLinkId);,Set the OneLink template ID that is used to create custom attribution links for user invites.,
,,public void setCollectAndroidID(boolean isCollect);,Indicate whether Android ID should be sent to AppsFlyer.,
,,public void setCollectIMEI(boolean isCollect);,Indicate whether IMEI should be sent to AppsFlyer.,
,,"public void setCustomerIdAndTrack(String id, @NonNull Context contex);","Initiates the SDK once a Customer User ID is available. For more information, see delay SDK init for Customer User ID.",
,,public void setCustomerUserId(String id),"Set the Customer User ID. For more information, see setting the Customer User ID.",
,,public void setDebugLog(boolean shouldEnable);,Enable debugging logs. See debugging for Android.,
,,public void setDeviceTrackingDisabled(boolean isDisabled);,"Anonymize a user's installs, events, and sessions. For more information, see anonymizing user data.",
,,public void void setLogLevel(AFLogger.LogLevel logLevel),Set the AppsFlyer SDK log level.,
,,public void setMinTimeBetweenSessions(int seconds);,"Set the minimum time between sessions. For more information, see custom time between sessions.",
,,public void setOaidData(String oaid);,"Send OAID to AppsFlyer. See OAID, IMEI and Android ID.",
,,public void setOutOfStore(String sourceName);,Specify the alternative app store that the app is downloaded from.,
,,"public void setPreinstallAttribution(String mediaSource, String campaign, String siteId)",Set the SDK to report pre-install when a pre-installed app launches.,
,,public void setResolveDeepLinkURLs(String... urls);,"Resolve OneLink from click domains. For more information, see resolving wrapped deep link URLs.",
,,public void startTracking(Application application);,"Start the SDK on app launch. For more information, see initializing the SDK.",
,,"public void stopTracking(boolean isTrackingStopped, Context context);","Shut down all SDK functionality. For more information, see user privacy - opt-out.",
,,"public void trackEvent(Context context, String eventName, Map&lt;String, Object&gt; eventValues);","Send in-app events to AppsFlyer. For more information, see recording in-app events.",
,," public void updateServerUninstallToken(Context context, String token)","For developers who use Firebase for other purposes other than uninstall measurement. For more information, see uninstall measurement.",
,,public void waitForCustomerUserId(boolean wait);,Delay SDK initilization until Customer User ID is set.,
