class_name,class_description,method,method_description,data_type
com.ironsource.adobeair.IronSource,,"IronSource.instance.init(YOUR_APP_KEY, [IronSource.REWARDED_VIDEO, IronSource.INTERSTITIAL, IronSource.OFFERWALL,IronSource.BANNER]);",This method will init the specific ad units mentioned in the adUnits parameter as an Array:,
com.ironsource.adobeair.IronSource,,IronSource.instance.setConsent(true);,"If the user provided consent, please set the following flag to true",
com.ironsource.adobeair.IronSource,,"IronSource.instance.setMetaData(Key:""do_not_sell"",Value:""true"");",If the user has opted out of “sale” of personal information:,
com.ironsource.adobeair.IronSource,,IronSource.instance.setUserId(YOUR_USER_ID);,"The userID is a unique identifier for each of your users. You can set the userID parameter, or omit it and let us generate one for you. If you choose to skip setting the userID in your code, the SDK will generate an equitable userID.",
com.ironsource.adobeair.IronSourceSegment;,,"segment.setCustom(""customKey1"", ""value1"");",,Set custom parameters (up to 5)
com.ironsource.adobeair.IronSource,,,"IronSource.instance.addEventListener(“onSegmentReceived”, onSegmentReceived);","Register to the following callback to receive the segment name that your user belongs to. If the callback string (segment name) returns empty, there were no correlating segments found for the user in the ironSource Segment module."
com.ironsource.adobeair.IronSource,,IronSource.instance.setRewardedVideoServerParameters(YOUR_CUSTOM_PARAMETERS);,Custom Parameters can be set several times per session.,
com.ironsource.adobeair.IronSource,,IronSource.instance.clearRewardedVideoServerParameters();,"In addition, you can remove custom parameters for Rewarded Video by calling this function:",
com.ironsource.adobeair.IronSource,,IronSource.instance.setIronSourceOfferwallCustomParams(YOUR_CUSTOM_PARAMETERS);,Custom Parameters can be added once per session for Offerwall.,
com.ironsource.adobeair.IronSource,,IronSource.Instance.setIronSourceRewardedVideoCustomParams(YOUR_CUSTOM_PARAMETERS);,"If you’d like to receive the IP of the user as an additional parameter in the Completion callback for users who engaged with the Rewarded Ad Unit, you should use:",
