class_name,class_description,method,method_description,data_type
com.kakao.auth.authorization.accesstoken.AccessToken,Stores access token and refresh token data used by Kakao API.,accessTokenExpiresAt(),Get expire time for access token,Date
com.kakao.auth.authorization.accesstoken.AccessToken,Stores access token and refresh token data used by Kakao API.,clearAccessToken(),Clear access token and its expire time.,void
com.kakao.auth.authorization.accesstoken.AccessToken,Stores access token and refresh token data used by Kakao API.,clearRefreshToken(),Clear refresh token and its expire time.,void
com.kakao.auth.authorization.accesstoken.AccessToken,Stores access token and refresh token data used by Kakao API.,getAccessToken(),Get access token.,String
com.kakao.auth.authorization.accesstoken.AccessToken,Stores access token and refresh token data used by Kakao API.,getRefreshToken(),Get refresh token.,String
com.kakao.auth.authorization.accesstoken.AccessToken,Stores access token and refresh token data used by Kakao API.,getRemainingExpireTime(),Get remaining expire time for access token in milliseconds,int
com.kakao.auth.authorization.accesstoken.AccessToken,Stores access token and refresh token data used by Kakao API.,hasValidAccessToken(),check if access token is valid or not by its expiration time.,boolean
com.kakao.auth.authorization.accesstoken.AccessToken,Stores access token and refresh token data used by Kakao API.,hasValidRefreshToken(),Check if refresh token is valid or not by its expiration time.,boolean
com.kakao.auth.authorization.accesstoken.AccessToken,Stores access token and refresh token data used by Kakao API.,refreshTokenExpiresAt(),Get expire time for refresh token,Date
com.kakao.auth.authorization.accesstoken.AccessToken,Stores access token and refresh token data used by Kakao API.,updateAccessToken(AccessToken accessToken),Update global access token with the given one (which could just be POJO).,void
com.kakao.auth.authorization.accesstoken.AccessToken.Factory,Factory class for instantiating Access token,createEmptyToken(),"Create a dummy empty token info, usually used to clear access token.",static AccessToken
com.kakao.auth.authorization.accesstoken.AccessToken.Factory,Factory class for instantiating Access token,"createFromCache(ISessionConfig sessionConfig,
               com.kakao.util.helper.PersistentKVStore cache)",Create an access token from cache to be used globally by Session.,static AccessToken
com.kakao.auth.authorization.accesstoken.AccessToken.Factory,Factory class for instantiating Access token,createFromResponse(String stringData),Create an access token from a successful response from Kakao OAuth server.,static AccessToken
com.kakao.auth.authorization.accesstoken.AccessToken.Factory,Factory class for instantiating Access token,getInstance(),N/A,static AccessToken
com.kakao.auth.AccessTokenCallback,Success/failure callback for getting access token.,onDidEnd(),해당 Job이 끝날때 불린다.,void
com.kakao.auth.AccessTokenCallback,Success/failure callback for getting access token.,onDidStart(),해당 Job이 시작될때 불린다.,void
com.kakao.auth.AccessTokenCallback,Success/failure callback for getting access token.,onFailure(ErrorResult errorResult),요청이 실패한경우 불린다.,void
com.kakao.auth.AccessTokenCallback,Success/failure callback for getting access token.,onFailureForUiThread(ErrorResult errorResult),요청한 Request가 실패했을때 불리는 callback.,void
com.kakao.auth.AccessTokenCallback,Success/failure callback for getting access token.,onSuccess(AccessToken accessToken),request에 대한 result.,void
com.kakao.auth.AccessTokenCallback,Success/failure callback for getting access token.,onSuccessForUiThread(AccessToken result),요청한 Request가 성공했을때 불리는 callback.,void
com.kakao.auth.authorization.accesstoken.AccessTokenListener,"Interface for access token callback.
 This interface is used internally only and subject to change.",onAccessTokenFailure(ErrorResult errorResult),N/A,void
com.kakao.auth.authorization.accesstoken.AccessTokenListener,"Interface for access token callback.
 This interface is used internally only and subject to change.",onAccessTokenReceived(AccessToken accessToken),N/A,void
com.kakao.auth.authorization.accesstoken.AccessTokenManager,"Interface responsible for getting access token from Kakao OAuth server. Access token can be acquired
 with either authorization code or refresh token.
 
 Authorization code is usually used when user tries login via AuthCodeManager, and refresh token
 is used when a new access token is needed due to expired one.","refreshAccessToken(String refreshToken,
                  AccessTokenCallback accessTokenCallback)",Requests access token with refresh token.,Future<AccessToken>
com.kakao.auth.authorization.accesstoken.AccessTokenManager,"Interface responsible for getting access token from Kakao OAuth server. Access token can be acquired
 with either authorization code or refresh token.
 
 Authorization code is usually used when user tries login via AuthCodeManager, and refresh token
 is used when a new access token is needed due to expired one.","requestAccessTokenByAuthCode(String authCode,
                            AccessTokenCallback accessTokenCallback)",Requests access token with auth code retrieved from Kakao OAuth server.,Future<AccessToken>
com.kakao.auth.authorization.accesstoken.AccessTokenManager.Factory,Initializes and provides singleton instance for AccessTokenManager.,getInstance(),N/A,static AccessTokenManager
com.kakao.auth.authorization.accesstoken.AccessTokenManager.Factory,Initializes and provides singleton instance for AccessTokenManager.,"initialize(Context context,
          ApprovalType approvalType)",N/A,static AccessTokenManager
com.kakao.auth.authorization.accesstoken.AccessTokenRequest,param의 encording정보.,getAuthCode(),N/A,String
com.kakao.auth.authorization.accesstoken.AccessTokenRequest,param의 encording정보.,getBodyEncoding(),param의 encording정보.,String
com.kakao.auth.authorization.accesstoken.AccessTokenRequest,param의 encording정보.,getHeaders(),http요청에 필요한 headers.,"Map<String,String>"
com.kakao.auth.authorization.accesstoken.AccessTokenRequest,param의 encording정보.,getMethod(),http 통신방법.,String
com.kakao.auth.authorization.accesstoken.AccessTokenRequest,param의 encording정보.,getMultiPartList(),"MultiPart에 대한 정보
 MultiPart로 요청을 보낼때 값을 채워주면 된다.",List<com.kakao.network.multipart.Part>
com.kakao.auth.authorization.accesstoken.AccessTokenRequest,param의 encording정보.,getParams(),http요청에 필요한 params.,"Map<String,String>"
com.kakao.auth.authorization.accesstoken.AccessTokenRequest,param의 encording정보.,getRefreshToken(),N/A,String
com.kakao.auth.authorization.accesstoken.AccessTokenRequest,param의 encording정보.,getUrl(),요청할 target url.,String
com.kakao.auth.AgeAuthParamBuilder,Builder for age authentication parameters,build(),연령인증 요청시 필요한 param들을 Query String으로 return한다.,Bundle
com.kakao.auth.AgeAuthParamBuilder,Builder for age authentication parameters,setAdultsOnly(Boolean adultsOnly),"청소년 유해물 여부 (음악, TV 등).",AgeAuthParamBuilder
com.kakao.auth.AgeAuthParamBuilder,Builder for age authentication parameters,setAgeLimit(AuthService.AgeLimit ageLimit),"연령제한, 일반적으로 12세, 15세, 19세 AuthService.AgeLimit",AgeAuthParamBuilder
com.kakao.auth.AgeAuthParamBuilder,Builder for age authentication parameters,setAuthFrom(String authFrom),서비스 이름 (client_id or app_id or service_name),AgeAuthParamBuilder
com.kakao.auth.AgeAuthParamBuilder,Builder for age authentication parameters,setAuthLevel(AuthService.AgeAuthLevel authLevel),연령인증 레벨.,AgeAuthParamBuilder
com.kakao.auth.AgeAuthParamBuilder,Builder for age authentication parameters,setIsWesternAge(boolean isWesternAge),"만 나이여부
 동의하고 시작하기 뷰에 연령제한이 만 나이 기준으로 표시되는지의 여부.",AgeAuthParamBuilder
com.kakao.auth.AgeAuthParamBuilder,Builder for age authentication parameters,setSkipTerm(boolean isSkipTerms),동의하기 안내화면 skip 여부,AgeAuthParamBuilder
com.kakao.usermgmt.response.AgeAuthResponse,"CI 제공에 대한 사용자 동의 필요 여부

 OptionalBoolean.TRUE 인 경우 새로운 동의 요청이 가능한 상태이며
 Session.updateScopes(Activity, List, AccessTokenCallback) 메소드를 이용하여 동의를 받을 수 있습니다.",ciNeedsAgreement(),"CI 제공에 대한 사용자 동의 필요 여부

 OptionalBoolean.TRUE 인 경우 새로운 동의 요청이 가능한 상태이며
 Session.updateScopes(Activity, List, AccessTokenCallback) 메소드를 이용하여 동의를 받을 수 있습니다.",OptionalBoolean
com.kakao.usermgmt.response.AgeAuthResponse,"CI 제공에 대한 사용자 동의 필요 여부

 OptionalBoolean.TRUE 인 경우 새로운 동의 요청이 가능한 상태이며
 Session.updateScopes(Activity, List, AccessTokenCallback) 메소드를 이용하여 동의를 받을 수 있습니다.",getAgeAuthLimitStatus(),true : 인증 받은 연령이 제한 나이 이상 / false : 인증 받은 연령이 제한 나이 미만.,AgeAuthResponse.AgeAuthLimitStatus
com.kakao.usermgmt.response.AgeAuthResponse,"CI 제공에 대한 사용자 동의 필요 여부

 OptionalBoolean.TRUE 인 경우 새로운 동의 요청이 가능한 상태이며
 Session.updateScopes(Activity, List, AccessTokenCallback) 메소드를 이용하여 동의를 받을 수 있습니다.",getAuthenticatedAt(),인증 받은 시각.,String
com.kakao.usermgmt.response.AgeAuthResponse,"CI 제공에 대한 사용자 동의 필요 여부

 OptionalBoolean.TRUE 인 경우 새로운 동의 요청이 가능한 상태이며
 Session.updateScopes(Activity, List, AccessTokenCallback) 메소드를 이용하여 동의를 받을 수 있습니다.",getAuthLevel(),유저가 받은 인증레벨.,AuthService.AgeAuthLevel
