class_name,class_description,method,method_description,data_type
com.linecorp.linesdk.LoginDelegate,"


Class Overview
Delegates the login result to the internal login handler. Use the
 provided create() method to create an object that implements the LoginDelegate
 interface.






","onActivityResult(int requestCode, int resultCode, Intent data)",Delegates the login result to the internal login handler.,"abstract
            
            
            
            
            boolean"
com.linecorp.linesdk.LoginDelegate,"


Class Overview
Delegates the login result to the internal login handler. Use the
 provided create() method to create an object that implements the LoginDelegate
 interface.






",N/A,N/A,N/A
com.linecorp.linesdk.LoginDelegate,"


Class Overview
Delegates the login result to the internal login handler. Use the
 provided create() method to create an object that implements the LoginDelegate
 interface.






","onActivityResult(int requestCode, int resultCode, Intent data)",Delegates the login result to the internal login handler.,"abstract
            
            
            
            
            boolean"
com.linecorp.linesdk.LoginDelegate,"


Class Overview
Delegates the login result to the internal login handler. Use the
 provided create() method to create an object that implements the LoginDelegate
 interface.






",N/A,N/A,N/A
com.linecorp.linesdk.LoginListener,"


Class Overview
Represents a listener for the login result. The onLoginSuccess(LineLoginResult) method
 is called if the login is successful; the onLoginFailure(LineLoginResult) is called
 otherwise.



  
      See Also
      LoginButton
      
  


",onLoginFailure(LineLoginResult result),Called by com.linecorp.linesdk.internal.LoginHandler if the login fails.,"abstract
            
            
            
            
            void"
com.linecorp.linesdk.LoginListener,"


Class Overview
Represents a listener for the login result. The onLoginSuccess(LineLoginResult) method
 is called if the login is successful; the onLoginFailure(LineLoginResult) is called
 otherwise.



  
      See Also
      LoginButton
      
  


",onLoginSuccess(LineLoginResult result),Called by com.linecorp.linesdk.internal.LoginHandler if the login succeeds.,"abstract
            
            
            
            
            void"
com.linecorp.linesdk.LoginListener,"


Class Overview
Represents a listener for the login result. The onLoginSuccess(LineLoginResult) method
 is called if the login is successful; the onLoginFailure(LineLoginResult) is called
 otherwise.



  
      See Also
      LoginButton
      
  


",N/A,N/A,N/A
com.linecorp.linesdk.LineAccessToken,"


Class Overview
Represents an access token that is used to call the Social API.






",getEstimatedExpirationTimeMillis(),Gets the estimated time in UNIX time when the access token expires.,long
com.linecorp.linesdk.LineAccessToken,"


Class Overview
Represents an access token that is used to call the Social API.






",getExpiresInMillis(),Gets the amount of time in milliseconds until the access token expires.,long
com.linecorp.linesdk.LineAccessToken,"


Class Overview
Represents an access token that is used to call the Social API.






",getIssuedClientTimeMillis(),Gets the time in UNIX time when the access token information was last updated.,long
com.linecorp.linesdk.LineAccessToken,"


Class Overview
Represents an access token that is used to call the Social API.






",getTokenString(),Gets the string representation of the access token.,String
com.linecorp.linesdk.LineAccessToken,"


Class Overview
Represents an access token that is used to call the Social API.






",N/A,N/A,N/A
com.linecorp.linesdk.LineApiError,"


Class Overview
Represents an error that is thrown by the Social API.






",getHttpResponseCode(),Gets the response code associated with the API error.,int
com.linecorp.linesdk.LineApiError,"


Class Overview
Represents an error that is thrown by the Social API.






",getMessage(),Gets the error message associated with the API error.,String
com.linecorp.linesdk.LineApiError,"


Class Overview
Represents an error that is thrown by the Social API.






",N/A,N/A,N/A
com.linecorp.linesdk.LineApiResponse,"


Class Overview
Represents a response from the Social API.






",getErrorData(),Gets information about an API error occurred.,LineApiError
com.linecorp.linesdk.LineApiResponse,"


Class Overview
Represents a response from the Social API.






",getResponseCode(),Gets the response code that is returned.,LineApiResponseCode
com.linecorp.linesdk.LineApiResponse,"


Class Overview
Represents a response from the Social API.






",getResponseData(),Gets data that is associated with the response if it exists.,R
com.linecorp.linesdk.LineApiResponse,"


Class Overview
Represents a response from the Social API.






",isNetworkError(),Checks if the API call fails with a network error.,boolean
com.linecorp.linesdk.LineApiResponse,"


Class Overview
Represents a response from the Social API.






",isServerError(),Checks if the API call fails with a server error.,boolean
com.linecorp.linesdk.LineApiResponse,"


Class Overview
Represents a response from the Social API.






",isSuccess(),Checks if the API call is successful.,boolean
com.linecorp.linesdk.LineApiResponse,"


Class Overview
Represents a response from the Social API.






",N/A,N/A,N/A
com.linecorp.linesdk.LineCredential,"


Class Overview
Represents credentials that are used to grant access to the Social API.






",getAccessToken(),Gets the access token.,LineAccessToken
