class_name,class_description,method,method_description,data_type
AdapterConfiguration,"An interface containing methods used for configuring adapters and network SDKs. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.",getAdapterVersion(),"Description: Returns the adapter version. This is typically a four-digit version scheme of which the leftmost three digits correspond to the network SDK version, and the last digit corresponds to the minor version number referring to an adapter release.",public String  
AdapterConfiguration,"An interface containing methods used for configuring adapters and network SDKs. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.",getBiddingToken(Context context),"Description: Returns the advanced bidding token, if this adapter has advanced bidding enabled; otherwise, return null.",public String  
AdapterConfiguration,"An interface containing methods used for configuring adapters and network SDKs. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.",getCachedInitializationParameters(Context context),Description: Returns a map of network initialization parameters. This map is passed to the setCachedInitializationParameters() method.,public String  
AdapterConfiguration,"An interface containing methods used for configuring adapters and network SDKs. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.",getMoPubNetworkName(),"Description: Returns the MoPub-internal name for this particular network, typically a lowercase string representing the network name. Underscores should be used if the string needs spaces.",public String  
AdapterConfiguration,"An interface containing methods used for configuring adapters and network SDKs. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.",getMoPubRequestOptions(),Description: Returns the map of options passed to our ad server.,public String  
AdapterConfiguration,"An interface containing methods used for configuring adapters and network SDKs. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.",getNetworkSdkVersion(),Description: Returns the version of the network SDK.,public String  
AdapterConfiguration,"An interface containing methods used for configuring adapters and network SDKs. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.","initializeNetwork(Context context, String configuration, OnNetworkInitializationFinishedListener listener)",Description: Initializes the ad network SDK. This logic executes alongside the initialization of the MoPub SDK (the initializeSdk() method). Ensure that the custom event always calls onNetworkInitializationFinished() afterward.,public void  
AdapterConfiguration,"An interface containing methods used for configuring adapters and network SDKs. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.","setCachedInitializationParameters(Context context, String configuration)",Description: Save initialization parameters for future use.,public void  
AdapterConfiguration,"An interface containing methods used for configuring adapters and network SDKs. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.",setMoPubRequestOptions(String moPubRequestOptions),Description: Sets a map of request options to send to the MoPub ad server.,public void  
BaseAdapterConfiguration,"A collection of methods that apply to the SDK as a whole. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.","setCachedInitializationParameters(Context context, String initializationParameters)",Description: Save initialization parameters after the first ad request for future use. Adapters should call this method in passing a map containing the network parameters.,public void  
BaseAdapterConfiguration,"A collection of methods that apply to the SDK as a whole. Publishers can subclass this class to initialize the network SDK, return SDK adapter versions, return the Advanced Bidding token, and return the network name.",setMoPubRequestOptions(String moPubRequestOptions),Description: Sets a map of request options to send to the MoPub ad server.,public void  
Constants,Global constants,AD_EXPIRATION_DELAY,Description: A constant representing 4 hours in milliseconds used by the MoPub SDK to expire unused creatives.,public static final int  
Constants,Global constants,AD_HANDLER,Description: A String consisting of /m/ad used by the MoPub SDK as part of ad URLs to the ad server.,public static final String  
Constants,Global constants,CONVERSION_TRACKING_HANDLER,Description: A String consisting of /m/open used by the MoPub SDK as part of ad URLs to report conversion tracking to the ad server.,public static final String  
Constants,Global constants,FIFTEEN_MINUTES_MILLIS,Description: A constant representing 15 minutes in milliseconds used by the MoPub SDK.,public static final int  
Constants,Global constants,FOUR_HOURS_MILLIS,Description: See AD_EXPIRATION_DELAY.,public static final int  
