class_name,class_description,method,method_description,data_type
com.paypal.base.rest.AccessToken,Specifies how long this token can be used for placing API calls.,canEqual(java.lang.Object other),N/A,protected boolean
com.paypal.base.rest.AccessToken,Specifies how long this token can be used for placing API calls.,equals(java.lang.Object o),N/A,boolean
com.paypal.base.rest.AccessToken,Specifies how long this token can be used for placing API calls.,expiresIn(),Specifies how long this token can be used for placing API calls.,long
com.paypal.base.rest.AccessToken,Specifies how long this token can be used for placing API calls.,getAccessToken(),N/A,java.lang.String
com.paypal.base.rest.AccessToken,Specifies how long this token can be used for placing API calls.,getExpires(),N/A,long
com.paypal.base.rest.AccessToken,Specifies how long this token can be used for placing API calls.,hashCode(),N/A,int
com.paypal.api.openidconnect.Address,Default Constructor,getCountry(),Getter for country,java.lang.String
com.paypal.api.openidconnect.Address,Default Constructor,getLocality(),Getter for locality,java.lang.String
com.paypal.api.openidconnect.Address,Default Constructor,getPostalCode(),Getter for postalCode,java.lang.String
com.paypal.api.openidconnect.Address,Default Constructor,getRegion(),Getter for region,java.lang.String
com.paypal.api.openidconnect.Address,Default Constructor,getStreetAddress(),Getter for streetAddress,java.lang.String
com.paypal.api.openidconnect.Address,Default Constructor,setCountry(java.lang.String country),Setter for country,void
com.paypal.api.openidconnect.Address,Default Constructor,setLocality(java.lang.String locality),Setter for locality,void
com.paypal.api.openidconnect.Address,Default Constructor,setPostalCode(java.lang.String postalCode),Setter for postalCode,void
com.paypal.api.openidconnect.Address,Default Constructor,setRegion(java.lang.String region),Setter for region,void
com.paypal.api.openidconnect.Address,Default Constructor,setStreetAddress(java.lang.String streetAddress),Setter for streetAddress,void
com.paypal.api.payments.Address,Phone number in E.123 format.,canEqual(java.lang.Object other),N/A,protected boolean
com.paypal.api.payments.Address,Phone number in E.123 format.,equals(java.lang.Object o),N/A,boolean
com.paypal.api.payments.Address,Phone number in E.123 format.,getPhone(),Phone number in E.123 format.,java.lang.String
com.paypal.api.payments.Address,Phone number in E.123 format.,getType(),"Type of address (e.g., HOME_OR_WORK, GIFT etc).",java.lang.String
com.paypal.api.payments.Address,Phone number in E.123 format.,hashCode(),N/A,int
com.paypal.api.payments.Address,Phone number in E.123 format.,setPhone(java.lang.String phone),Phone number in E.123 format.,Address
com.paypal.api.payments.Address,Phone number in E.123 format.,setType(java.lang.String type),"Type of address (e.g., HOME_OR_WORK, GIFT etc).",Address
