class_name,class_description,method,method_description,data_type
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com",actionComplete(java.lang.String actionID),Informs the Tapjoy server that the specified Pay-Per-Action was completed.,static void
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com",addUserTag(java.lang.String tag),Adds the given tag to the user if it is not already present.,static void
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com","awardCurrency(int amount,             TJAwardCurrencyListener listener)",Awards virtual currency.,static void
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com",belowConsentAge(boolean isBelowConsentAge),"In the US, the Children’s Online Privacy Protection Act (COPPA) imposes certain requirements on operators of online services that (a) have actual knowledge that the connected user is a child under 13 years of age, or (b) operate services (including apps) that are directed to children under 13.",static void
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com",clearUserTags(),Removes all tags from the user.,static void
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com","connect(android.content.Context context,       java.lang.String sdkKey)",Connects to the Tapjoy Server,static boolean
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com","connect(android.content.Context context,       java.lang.String sdkKey,       java.util.Hashtable<java.lang.String,?> flags)",Connects to the Tapjoy Server,static boolean
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com","connect(android.content.Context applicationContext,       java.lang.String sdkKey,       java.util.Hashtable<java.lang.String,?> flags,       TJConnectListener publisherListener)","Performs the Tapjoy Connect call to the Tapjoy server to notify it that this device is running your application.  This method should be called in the onCreate() method of your first activity and before any other TapjoyConnect methods.  For special flags, this is a hashtable of special flags to send to enable non-standard settings.",static boolean
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com",endSession(),Manual session tracking.,static void
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com",getCurrencyBalance(TJGetCurrencyBalanceListener listener),Gets the virtual currency data from the server for this device.,static void
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com",getCurrencyMultiplier(),Deprecated. Deprecated since 11.4.0. Gets the multiplier for the virtual currency display.,static float
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com","getLimitedPlacement(java.lang.String placementName,                   TJPlacementListener listener)",N/A,static TJPlacement
com.tapjoy.Tapjoy,"Created by Tapjoy. Copyright 2018 Tapjoy.com All rights reserved.  For information about SDK integration, best practices and FAQs, please go to http://dev.tapjoy.com","getPlacement(java.lang.String placementName,            TJPlacementListener listener)",Creates a TJPlacement object used for requesting content,static TJPlacement
