class_name,class_description,method,method_description,data_type
com.unity3d.services.analytics.AcquisitionType,Returns the enum constant of this type with the specified name.,toString(),N/A,java.lang.String
com.unity3d.services.analytics.AcquisitionType,Returns the enum constant of this type with the specified name.,valueOf(java.lang.String name),Returns the enum constant of this type with the specified name.,static AcquisitionType
com.unity3d.services.analytics.AcquisitionType,Returns the enum constant of this type with the specified name.,values(),"Returns an array containing the constants of this enum type, in
the order they are declared.",static AcquisitionType[]
com.unity3d.services.ads.configuration.AdsModuleConfiguration,N/A,getAdUnitViewHandlers(),N/A,"java.util.Map<java.lang.String,java.lang.Class>"
com.unity3d.services.ads.configuration.AdsModuleConfiguration,N/A,getWebAppApiClassList(),N/A,java.lang.Class[]
com.unity3d.services.ads.configuration.AdsModuleConfiguration,N/A,initCompleteState(Configuration configuration),N/A,boolean
com.unity3d.services.ads.configuration.AdsModuleConfiguration,N/A,"initErrorState(Configuration configuration,
              java.lang.String state,
              java.lang.String errorMessage)",N/A,boolean
com.unity3d.services.ads.configuration.AdsModuleConfiguration,N/A,initModuleState(Configuration configuration),N/A,boolean
com.unity3d.services.ads.configuration.AdsModuleConfiguration,N/A,resetState(Configuration configuration),N/A,boolean
com.unity3d.ads.properties.AdsProperties,N/A,addListener(IUnityAdsListener listener),N/A,static void
com.unity3d.ads.properties.AdsProperties,N/A,getListener(),N/A,static IUnityAdsListener
com.unity3d.ads.properties.AdsProperties,N/A,getListeners(),N/A,static java.util.Set<IUnityAdsListener>
com.unity3d.ads.properties.AdsProperties,N/A,getShowTimeout(),N/A,static int
com.unity3d.ads.properties.AdsProperties,N/A,removeListener(IUnityAdsListener listener),N/A,static void
com.unity3d.ads.properties.AdsProperties,N/A,setListener(IUnityAdsListener listener),N/A,static void
com.unity3d.ads.properties.AdsProperties,N/A,setShowTimeout(int timeout),N/A,static void
com.unity3d.services.ads.api.AdsProperties,N/A,"setShowTimeout(java.lang.Integer timeout,
              WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,clearMotionEventCapture(WebViewCallback callback),N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,close(WebViewCallback callback),N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,endMotionEventCapture(WebViewCallback callback),N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,getAdUnitActivity(),N/A,static AdUnitActivity
com.unity3d.services.ads.api.AdUnit,N/A,getCurrentAdUnitActivityId(),N/A,static int
com.unity3d.services.ads.api.AdUnit,N/A,getCurrentMotionEventCount(WebViewCallback callback),N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"getMotionEventCount(org.json.JSONArray eventTypes,
                   WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"getMotionEventData(org.json.JSONObject infoIndices,
                  WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,getOrientation(WebViewCallback callback),N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,getSafeAreaInsets(WebViewCallback callback),N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"getViewFrame(java.lang.String view,
            WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,getViews(WebViewCallback callback),N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"open(java.lang.Integer activityId,
    org.json.JSONArray views,
    java.lang.Integer orientation,
    org.json.JSONArray keyevents,
    java.lang.Integer systemUiVisibility,
    java.lang.Boolean hardwareAcceleration,
    java.lang.Boolean isTransparent,
    java.lang.Integer displayCutoutMode,
    WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"open(java.lang.Integer activityId,
    org.json.JSONArray views,
    java.lang.Integer orientation,
    org.json.JSONArray keyevents,
    java.lang.Integer systemUiVisibility,
    java.lang.Boolean hardwareAcceleration,
    java.lang.Boolean isTransparent,
    WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"open(java.lang.Integer activityId,
    org.json.JSONArray views,
    java.lang.Integer orientation,
    org.json.JSONArray keyevents,
    java.lang.Integer systemUiVisibility,
    java.lang.Boolean hardwareAcceleration,
    WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"open(java.lang.Integer activityId,
    org.json.JSONArray views,
    java.lang.Integer orientation,
    org.json.JSONArray keyevents,
    WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"open(java.lang.Integer activityId,
    org.json.JSONArray views,
    java.lang.Integer orientation,
    WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,setAdUnitActivity(AdUnitActivity activity),N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,setCurrentAdUnitActivityId(int activityId),N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"setKeepScreenOn(java.lang.Boolean screenOn,
               WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"setKeyEventList(org.json.JSONArray keyevents,
               WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"setLayoutInDisplayCutoutMode(java.lang.Integer displayCutoutMode,
                            WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"setOrientation(java.lang.Integer orientation,
              WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"setSystemUiVisibility(java.lang.Integer systemUiVisibility,
                     WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"setViewFrame(java.lang.String view,
            java.lang.Integer x,
            java.lang.Integer y,
            java.lang.Integer width,
            java.lang.Integer height,
            WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"setViews(org.json.JSONArray views,
        WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.api.AdUnit,N/A,"startMotionEventCapture(java.lang.Integer maxEvents,
                       WebViewCallback callback)",N/A,static void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,createLayout(),N/A,protected void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,getLayout(),N/A,AdUnitRelativeLayout
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,getViewFrame(java.lang.String view),N/A,"java.util.Map<java.lang.String,java.lang.Integer>"
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,getViewHandler(java.lang.String name),N/A,IAdUnitViewHandler
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,getViews(),N/A,java.lang.String[]
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,onCreate(android.os.Bundle savedInstanceState),N/A,protected void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,onDestroy(),N/A,protected void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,"onKeyDown(int keyCode,
         android.view.KeyEvent event)",N/A,boolean
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,onPause(),N/A,protected void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,"onRequestPermissionsResult(int requestCode,
                          java.lang.String[] permissions,
                          int[] grantResults)",N/A,void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,onResume(),N/A,protected void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,onSaveInstanceState(android.os.Bundle outState),N/A,void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,onStart(),N/A,protected void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,onStop(),N/A,protected void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,onWindowFocusChanged(boolean hasFocus),N/A,void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,setKeepScreenOn(boolean keepScreenOn),N/A,boolean
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,setKeyEventList(java.util.ArrayList<java.lang.Integer> keyevents),N/A,void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,setLayoutInDisplayCutoutMode(int flags),N/A,void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,setOrientation(int orientation),N/A,void
com.unity3d.services.ads.adunit.AdUnitActivity,N/A,setSystemUiVisibility(int flags),N/A,boolean
