class_name,class_description,method,method_description,data_type
com.tencent.mm.opensdk.modelbiz.AddCardToWXCardPackage,"batch add card to weixin
批量添加卡券至微信",N/A,N/A,N/A
com.tencent.mm.opensdk.modelbiz.AddCardToWXCardPackage.Req,"card list, less than 40
 要添加的卡券列表，不能超过40个
",checkArgs(),"Check parameters of this request
 检查该请求各个参数的合法性
",boolean
com.tencent.mm.opensdk.modelbiz.AddCardToWXCardPackage.Req,"card list, less than 40
 要添加的卡券列表，不能超过40个
",getType(),"Return type ID of the current request.
",int
com.tencent.mm.opensdk.modelbiz.AddCardToWXCardPackage.Req,"card list, less than 40
 要添加的卡券列表，不能超过40个
",toBundle(android.os.Bundle data),"Serialize requests into Bundle
 将请求序列化到Bundle中
",void
com.tencent.mm.opensdk.modelbiz.AddCardToWXCardPackage.Resp,"Check parameters of this response
 检查该响应各个参数的合法性
",checkArgs(),"Check parameters of this response
 检查该响应各个参数的合法性
",boolean
com.tencent.mm.opensdk.modelbiz.AddCardToWXCardPackage.Resp,"Check parameters of this response
 检查该响应各个参数的合法性
",fromBundle(android.os.Bundle data),"Deserialize response data in Bundle
 从Bundle中反序列化响应数据
",void
com.tencent.mm.opensdk.modelbiz.AddCardToWXCardPackage.Resp,"Check parameters of this response
 检查该响应各个参数的合法性
",getType(),"Return type ID of the current response.
",int
com.tencent.mm.opensdk.modelbiz.AddCardToWXCardPackage.Resp,"Check parameters of this response
 检查该响应各个参数的合法性
",toBundle(android.os.Bundle data),"Serialize responses in Bundle
 将响应序列化到Bundle中
",void
com.tencent.mm.opensdk.modelbiz.AddCardToWXCardPackage.WXCardItem,"carExtMsg, should less than 1024 bytes
 卡券额外的信息，不能超过1024字节
",N/A,N/A,N/A
com.tencent.mm.opensdk.modelbase.BaseReq,"Base class of OpenAPI requests
OpenAPI请求基类",checkArgs(),"Check parameters of this request
 检查该请求各个参数的合法性
",abstract boolean
com.tencent.mm.opensdk.modelbase.BaseReq,"Base class of OpenAPI requests
OpenAPI请求基类",fromBundle(android.os.Bundle data),"Deserialize request data in Bundle
 从Bundle中反序列化request数据
",void
com.tencent.mm.opensdk.modelbase.BaseReq,"Base class of OpenAPI requests
OpenAPI请求基类",getType(),"Return type ID of the current request.
",abstract int
com.tencent.mm.opensdk.modelbase.BaseReq,"Base class of OpenAPI requests
OpenAPI请求基类",toBundle(android.os.Bundle data),"Serialize requests into Bundle
 将请求序列化到Bundle中
",void
com.tencent.mm.opensdk.modelbase.BaseResp,"Base class of OpenAPI responses
OpenAPI响应基类",checkArgs(),"Check parameters of this response
 检查该响应各个参数的合法性
",abstract boolean
com.tencent.mm.opensdk.modelbase.BaseResp,"Base class of OpenAPI responses
OpenAPI响应基类",fromBundle(android.os.Bundle data),"Deserialize response data in Bundle
 从Bundle中反序列化响应数据
",void
com.tencent.mm.opensdk.modelbase.BaseResp,"Base class of OpenAPI responses
OpenAPI响应基类",getType(),"Return type ID of the current response.
",abstract int
com.tencent.mm.opensdk.modelbase.BaseResp,"Base class of OpenAPI responses
OpenAPI响应基类",toBundle(android.os.Bundle data),"Serialize responses in Bundle
 将响应序列化到Bundle中
",void
com.tencent.mm.opensdk.modelbase.BaseResp.ErrCode,"Error code for OpenAPI responses
OpenAPI响应错误代码",N/A,N/A,N/A
com.tencent.mm.opensdk.constants.Build,"sdk build info
sdk版本信息",getMajorVersion(),N/A,static int
com.tencent.mm.opensdk.constants.Build,"sdk build info
sdk版本信息",getMinorVersion(),N/A,static int
com.tencent.mm.opensdk.modelbiz.ChooseCardFromWXCardPackage,"jiandonglin
 for select card or coupon",N/A,N/A,N/A
com.tencent.mm.opensdk.modelbiz.ChooseCardFromWXCardPackage.Req,"App ID that the merchant applied for on WeChat Developer Platform
 商户在微信开放平台申请的应用id
",checkArgs(),"Check parameters of this request
 检查该请求各个参数的合法性
",boolean
com.tencent.mm.opensdk.modelbiz.ChooseCardFromWXCardPackage.Req,"App ID that the merchant applied for on WeChat Developer Platform
 商户在微信开放平台申请的应用id
",getType(),"Return type ID of the current request.
",int
com.tencent.mm.opensdk.modelbiz.ChooseCardFromWXCardPackage.Req,"App ID that the merchant applied for on WeChat Developer Platform
 商户在微信开放平台申请的应用id
",toBundle(android.os.Bundle data),"Serialize requests into Bundle
 将请求序列化到Bundle中
",void
com.tencent.mm.opensdk.modelbiz.ChooseCardFromWXCardPackage.Resp,"Check parameters of this response
 检查该响应各个参数的合法性
",checkArgs(),"Check parameters of this response
 检查该响应各个参数的合法性
",boolean
com.tencent.mm.opensdk.modelbiz.ChooseCardFromWXCardPackage.Resp,"Check parameters of this response
 检查该响应各个参数的合法性
",fromBundle(android.os.Bundle data),"Deserialize response data in Bundle
 从Bundle中反序列化响应数据
",void
com.tencent.mm.opensdk.modelbiz.ChooseCardFromWXCardPackage.Resp,"Check parameters of this response
 检查该响应各个参数的合法性
",getType(),"Return type ID of the current response.
",int
com.tencent.mm.opensdk.modelbiz.ChooseCardFromWXCardPackage.Resp,"Check parameters of this response
 检查该响应各个参数的合法性
",toBundle(android.os.Bundle data),"Serialize responses in Bundle
 将响应序列化到Bundle中
",void
com.tencent.mm.opensdk.constants.ConstantsAPI,"WeChatOpenAPI Constants
微信OpenAPI常量定义",N/A,N/A,N/A
com.tencent.mm.opensdk.constants.ConstantsAPI.AppSupportContentFlag,N/A,N/A,N/A,N/A
